Surface Word,Kamba Lemma,English translation,Glossing,Match Type
kĩtũaa,tũaa,[Translation Missing],kĩ-tũaa,No Lexicon Match
Mbua,bua,[Translation Missing],mbua,No Lexicon Match
ndĩkĩlawa,lawa,[Translation Missing],ndĩkĩlawa,No Lexicon Match
metho,metho,[Translation Missing],metho,No Lexicon Match
ndĩ,ndĩ,[Translation Missing],ndĩ,No Lexicon Match
kĩthuma,thuma,[Translation Missing],kĩ-thuma,No Lexicon Match
ndyasyaa,syaa,[Translation Missing],syaa,No Lexicon Match
ĩmantha,ĩmantha,[Translation Missing],ĩmantha,No Lexicon Match
ĩmwe,ĩmwe,[Translation Missing],ĩmwe,No Lexicon Match
ũnyenyeũ,nyenyeũ,[Translation Missing],ũnyenyeũ,No Lexicon Match
ndĩvandĩawa,vandĩawa,[Translation Missing],ndĩ-vandĩawa,No Lexicon Match
nundu,nundu,[Translation Missing],nundu,No Lexicon Match
ndĩkyesaa,esaa,[Translation Missing],esaa,No Lexicon Match
ĩkĩlea,ĩkĩlea,[Translation Missing],ĩkĩlea,No Lexicon Match
kua,kua,[Translation Missing],kua,No Lexicon Match
ĩetae,etaa,[Translation Missing],ĩetae,No Lexicon Match
mũumbĩ,umbĩ,[Translation Missing],mũumbĩ,No Lexicon Match
yũlea,lea,[Translation Missing],yũlea,No Lexicon Match
ĩkwatasya,tasya,[Translation Missing],ĩkwatasya,No Lexicon Match
ũkũngi8,kũngi8,[Translation Missing],ũkũngi8,No Lexicon Match
Mũndũ,mũndũ,[Translation Missing],mũndũ,No Lexicon Match
awetae,wetaa,[Translation Missing],wetae,No Lexicon Match
yaamuĩa,muĩa,[Translation Missing],yaamuĩa,No Lexicon Match
Ndũkasuke,suka,[Translation Missing],suka,No Lexicon Match
thaano,thaano,[Translation Missing],thaano,No Lexicon Match
Ũtaathi,ũtaathi,[Translation Missing],ũtaathi,No Lexicon Match
Ũmanyaa,ũmanyaa,[Translation Missing],ũmanyaa,No Lexicon Match
kwĩ,kwĩ,[Translation Missing],kwĩ,No Lexicon Match
nĩkwona,ona,[Translation Missing],nĩkw-ona,No Lexicon Match
ũtisi,ũtisi,[Translation Missing],ũtisi,No Lexicon Match
mbee,mbee,[Translation Missing],mbee,No Lexicon Match
Kolyanza,lyanza,[Translation Missing],kolyanza,No Lexicon Match
Vai,vai,[Translation Missing],vai,No Lexicon Match
ĩte,ĩte,[Translation Missing],ĩte,No Lexicon Match
ũmuu,ũmuu,[Translation Missing],ũmuu,No Lexicon Match
ĩtakya,ĩtakya,[Translation Missing],ĩtakya,No Lexicon Match
Ndũkaume,uma,[Translation Missing],ndũkaume,No Lexicon Match
ngwa,ngwa,[Translation Missing],ngwa,No Lexicon Match
ũtavika,vika,[Translation Missing],ũta-vika,No Lexicon Match
ĩtunĩ,ĩtunĩ,[Translation Missing],ĩtunĩ,No Lexicon Match
Ndũkaũmange,ũmange,[Translation Missing],ũmange,No Lexicon Match
ĩtanathũa,thũa,[Translation Missing],thũa,No Lexicon Match
Nzũũ,nzũũ,[Translation Missing],nzũũ,No Lexicon Match
syaema,ema,[Translation Missing],ema,No Lexicon Match
ũsyaa,ũsyaa,[Translation Missing],ũsyaa,No Lexicon Match
syaisye,isa,[Translation Missing],syaisa,No Lexicon Match
yĩĩ,yĩĩ,[Translation Missing],yĩĩ,No Lexicon Match
ĩvyũ,ĩvyũ,[Translation Missing],ĩvyũ,No Lexicon Match
mũno,mũno,[Translation Missing],mũno,No Lexicon Match
Sua,Sua,[Translation Missing],sua,No Lexicon Match
yoomya,omya,[Translation Missing],yoomya,No Lexicon Match
ũkatho,ũkatho,[Translation Missing],ũkatho,No Lexicon Match
ngoowa,ngoowa,[Translation Missing],ngoowa,No Lexicon Match
Syathama,thama,[Translation Missing],syathama,No Lexicon Match
itũngawa,tũngawa,[Translation Missing],itũngawa,No Lexicon Match
Syatwaawa,twaawa,[Translation Missing],syatwaawa,No Lexicon Match
ũseve,ũseve,[Translation Missing],ũseve,No Lexicon Match
ndutani,nduta,[Translation Missing],nduta,No Lexicon Match
ĩyetelaa,etelaa,[Translation Missing],ĩyetelaa,No Lexicon Match
Mũsili,uMũsili,[Translation Missing],mũsili,No Lexicon Match
Wamanthĩa,manthĩa,[Translation Missing],wamanthĩa,No Lexicon Match
suanĩ,suanĩ,[Translation Missing],suanĩ,No Lexicon Match
ĩĩa,ĩĩa,[Translation Missing],ĩĩa,No Lexicon Match
munyĩnĩ,munya,[Translation Missing],munyĩnĩ,No Lexicon Match
Mũumbĩ,umbĩ,[Translation Missing],umbĩ,No Lexicon Match
ndwathawa,thawa,[Translation Missing],thawa,No Lexicon Match
kĩĩma,kĩĩma,[Translation Missing],kĩĩma,No Lexicon Match
No,no,[Translation Missing],no,No Lexicon Match
syĩĩma,syĩĩma,[Translation Missing],syĩĩma,No Lexicon Match
itakomanaa,komanaa,[Translation Missing],itakomanaa,No Lexicon Match
kĩsinda,sinda,[Translation Missing],kĩ-sinda,No Lexicon Match
ĩnyũũ,ĩnyũũ,[Translation Missing],ĩnyũũ,No Lexicon Match
nzeve,nzeve,[Translation Missing],nzeve,No Lexicon Match
Vayĩ,wayĩ,[Translation Missing],vayĩ,No Lexicon Match
kĩkĩlĩtye,kĩkĩlĩta,[Translation Missing],kĩkĩlĩtya,No Lexicon Match
kĩngĩ,kĩngĩ,[Translation Missing],kĩngĩ,No Lexicon Match
makanza,kanza,[Translation Missing],makanza,No Lexicon Match
kalĩma,lĩma,[Translation Missing],ka-lĩma,No Lexicon Match
katalĩsĩka,talĩsĩka,[Translation Missing],ka-talĩsĩka,No Lexicon Match
Ve,ve,[Translation Missing],ve,No Lexicon Match
syĩ,syĩ,[Translation Missing],syĩ,No Lexicon Match
mbevo,mbevo,[Translation Missing],mbevo,No Lexicon Match
Kĩlaa,kĩlaa,[Translation Missing],kĩlaa,No Lexicon Match
kũmwe,kũmwe,[Translation Missing],kũmwe,No Lexicon Match
ngongo,ngongo,[Translation Missing],ngongo,No Lexicon Match
Kĩkalo,kĩkalo,[Translation Missing],kĩkalo,No Lexicon Match
kĩnene,nene,[Translation Missing],kĩnene,No Lexicon Match
kyeteelasya,etelasya,[Translation Missing],eteelasya,No Lexicon Match
mwene,mwene,[Translation Missing],mwene,No Lexicon Match
mbuta,mbuta,[Translation Missing],mbuta,No Lexicon Match
Kya,kya,[Translation Missing],kya,No Lexicon Match
kiĩ,kiĩ,[Translation Missing],kiĩ,No Lexicon Match
Ũsĩ,ũsĩ,[Translation Missing],ũsĩ,No Lexicon Match
ũatĩaa,tĩaa,[Translation Missing],ũatĩaa,No Lexicon Match
kyanda,anda,[Translation Missing],ky-anda,No Lexicon Match
ũtũlĩlaa,lĩlaa,[Translation Missing],ũtũlĩlaa,No Lexicon Match
vala,vala,[Translation Missing],vala,No Lexicon Match
vavũthũ,vũthũ,[Translation Missing],va-vũthũ,No Lexicon Match
Mũtũa,tũa,[Translation Missing],mũtũa,No Lexicon Match
kĩthamanĩ,thamanĩ,[Translation Missing],kĩthamanĩ,No Lexicon Match
ũsĩ,ũsĩ,[Translation Missing],ũsĩ,No Lexicon Match
esaa,esaa,[Translation Missing],esaa,No Lexicon Match
ũtwaawa,ũtwaawa,[Translation Missing],ũtwaawa,No Lexicon Match
Mũingi,ingi,[Translation Missing],ingi,No Lexicon Match
ndathanaa,thanaa,[Translation Missing],thanaa,No Lexicon Match
Kasĩla,sĩla,[Translation Missing],sĩla,No Lexicon Match
kakaa,kaa,[Translation Missing],kakaa,No Lexicon Match
konekaa,konekaa,[Translation Missing],konekaa,No Lexicon Match
yaĩte,ĩta,[Translation Missing],yaĩte,No Lexicon Match
Myũnthĩ,myũnthĩ,[Translation Missing],myũnthĩ,No Lexicon Match
ĩthwĩwe,thwĩwe,[Translation Missing],ĩthwĩwe,No Lexicon Match
kũkya,kya,[Translation Missing],kũkya,No Lexicon Match
Wĩsĩ,wĩsĩ,[Translation Missing],wĩsĩ,No Lexicon Match
kenda,kenda,[Translation Missing],kenda,No Lexicon Match
ndwaa,ndwaa,[Translation Missing],ndwaa,No Lexicon Match
kũmĩa,mĩa,[Translation Missing],kũmĩa,No Lexicon Match
Waĩĩ,ĩĩ,[Translation Missing],waĩĩ,No Lexicon Match
nũkũmĩe,kũmĩa,[Translation Missing],nũkũmĩe,No Lexicon Match
Ndunia,ndunia,[Translation Missing],ndunia,No Lexicon Match
nĩkeũkaa,ũkaa,[Translation Missing],nĩke-ũkaa,No Lexicon Match
Mwaka,waka,[Translation Missing],mwaka,No Lexicon Match
mũngongoo,mũngongoo,[Translation Missing],mũngongoo,No Lexicon Match
Kĩvindu,vindu,[Translation Missing],kĩvindu,No Lexicon Match
kĩsanasya,sya,[Translation Missing],kĩsanasya,No Lexicon Match
kaũndũ,kaũndũ,[Translation Missing],kaũndũ,No Lexicon Match
kaula,ula,[Translation Missing],kaula,No Lexicon Match
i,i,[Translation Missing],i,No Lexicon Match
mbiti,mbiti,[Translation Missing],mbiti,No Lexicon Match
Kĩwe,kĩwe,[Translation Missing],kĩwe,No Lexicon Match
nokyo,nokyo,[Translation Missing],nokyo,No Lexicon Match
Kũtingwa,tingwa,[Translation Missing],tingwa,No Lexicon Match
ũtakesaa,kesaa,[Translation Missing],ũtakesaa,No Lexicon Match
Mũthi,thi,[Translation Missing],mũthi,No Lexicon Match
kũthi,kũthi,[Translation Missing],kũthi,No Lexicon Match
ndathelaa,thelaa,[Translation Missing],thelaa,No Lexicon Match
malanga,langa,[Translation Missing],malanga,No Lexicon Match
Ũtukũ,ũtukũ,[Translation Missing],ũtukũ,No Lexicon Match
ndũtumaa,tumaa,[Translation Missing],ndũtumaa,No Lexicon Match
nzele,nzela,[Translation Missing],nzele,No Lexicon Match
mwaasa,mwaasa,[Translation Missing],mwaasa,No Lexicon Match
ũthamaa,thamaa,[Translation Missing],ũ-thamaa,No Lexicon Match
ngovi,ngovi,[Translation Missing],ngovi,No Lexicon Match
ndũkalaatawa,laatawa,[Translation Missing],ndũka-laatawa,No Lexicon Match
kwĩngutha,ĩngutha,[Translation Missing],kwĩngutha,No Lexicon Match
matũ,matũ,[Translation Missing],matũ,No Lexicon Match
nyũmba,nyũmba,[Translation Missing],nyũmba,No Lexicon Match
ngunga,ngunga,[Translation Missing],ngunga,No Lexicon Match
Mũeni,mũeni,[Translation Missing],mũeni,No Lexicon Match
akomaa,komaa,[Translation Missing],komaa,No Lexicon Match
kũla,kũla,[Translation Missing],kũla,No Lexicon Match
kũtakomawa,komawa,[Translation Missing],kũtakomawa,No Lexicon Match
Vatakomwa,koma,[Translation Missing],vatakomwa,No Lexicon Match
vakomeawa,komeawa,[Translation Missing],va-komeawa,No Lexicon Match
nduka,nduka,[Translation Missing],nduka,No Lexicon Match
Kathima,thima,[Translation Missing],kathima,No Lexicon Match
kala,kala,[Translation Missing],kala,No Lexicon Match
kaluĩlasya,luĩlasya,[Translation Missing],kaluĩlasya,No Lexicon Match
kaiyĩĩawa,yĩĩawa,[Translation Missing],kaiyĩĩawa,No Lexicon Match
Kĩthima,thima,[Translation Missing],kĩthima,No Lexicon Match
kĩnaema,ema,[Translation Missing],ema,No Lexicon Match
kĩitonyeka,tonyeka,[Translation Missing],kĩi-tonyeka,No Lexicon Match
ngũũe,ngũũa,[Translation Missing],ngũũe,No Lexicon Match
Kĩla,kĩla,[Translation Missing],kĩla,No Lexicon Match
ũkĩa,ũkĩa,[Translation Missing],ũkĩa,No Lexicon Match
kĩkakwĩthĩa,kwĩthĩa,[Translation Missing],kĩkakwĩthĩa,No Lexicon Match
Mwĩwa,mwĩwa,[Translation Missing],mwĩwa,No Lexicon Match
ũthuasya,thuasya,[Translation Missing],ũthuasya,No Lexicon Match
ũla,ũla,[Translation Missing],ũla,No Lexicon Match
ũtonyetwe,tonyata,[Translation Missing],ũtonyetwe,No Lexicon Match
Ũkambonia,mbonia,[Translation Missing],ũka-mbonia,No Lexicon Match
kũũ,kũũ,[Translation Missing],kũũ,No Lexicon Match
mwĩwa,mwĩwa,[Translation Missing],mwĩwa,No Lexicon Match
Ũla,ũla,[Translation Missing],ũla,No Lexicon Match
mũtine,mũtine,[Translation Missing],mũtine,No Lexicon Match
nĩwe,nĩwe,[Translation Missing],nĩwe,No Lexicon Match
wĩsĩ,wĩsĩ,[Translation Missing],wĩsĩ,No Lexicon Match
ve,ve,[Translation Missing],ve,No Lexicon Match
kĩsemei,sema,[Translation Missing],kĩ-semei,No Lexicon Match
Ũtee,ũtea,[Translation Missing],ũtee,No Lexicon Match
nthongo,nthongo,[Translation Missing],nthongo,No Lexicon Match
vayaa,yaa,[Translation Missing],va-yaa,No Lexicon Match
nyeki,nyeki,[Translation Missing],nyeki,No Lexicon Match
mwando,mwando,[Translation Missing],mwando,No Lexicon Match
mũvĩte,vĩta,[Translation Missing],mũvĩte,No Lexicon Match
ndia,ndia,[Translation Missing],ndia,No Lexicon Match
ĩtangalwa,ĩtangalwa,[Translation Missing],ĩtangalwa,No Lexicon Match
Anakavĩte,vĩta,[Translation Missing],vĩte,No Lexicon Match
ta,ta,[Translation Missing],ta,No Lexicon Match
ĩlaa,ĩlaa,[Translation Missing],ĩlaa,No Lexicon Match
mũutĩ,mũutĩ,[Translation Missing],mũutĩ,No Lexicon Match
Avaĩĩ,vaĩĩ,[Translation Missing],avaĩĩ,No Lexicon Match
kĩtathe,tha,[Translation Missing],kĩtathe,No Lexicon Match
vayũaa,yũaa,[Translation Missing],va-yũaa,No Lexicon Match
ndathe,tha,[Translation Missing],ndathe,No Lexicon Match
Ĩlaa,ĩlaa,[Translation Missing],ĩlaa,No Lexicon Match
ngwatyo,ngwatyo,[Translation Missing],ngwatyo,No Lexicon Match
yaĩlaa,ĩlaa,[Translation Missing],ĩlaa,No Lexicon Match
Kamanyĩa,manyĩa,[Translation Missing],manyĩa,No Lexicon Match
kũlĩsa,lĩsa,[Translation Missing],kũ-lĩsa,No Lexicon Match
mĩtĩ,mĩtĩ,[Translation Missing],mĩtĩ,No Lexicon Match
ĩla,ĩla,[Translation Missing],ĩla,No Lexicon Match
mĩnene,nene,[Translation Missing],mĩnene,No Lexicon Match
tũla,tũla,[Translation Missing],tũla,No Lexicon Match
tũnini,nini,[Translation Missing],tũnini,No Lexicon Match
kaimanyaa,imanyaa,[Translation Missing],kaimanyaa,No Lexicon Match
kyumaa,kyumaa,[Translation Missing],kyumaa,No Lexicon Match
nzĩ,nzĩ,[Translation Missing],nzĩ,No Lexicon Match
mĩwa,mĩwa,[Translation Missing],mĩwa,No Lexicon Match
ky,ky,[Translation Missing],ky,No Lexicon Match
Kaumaa,umaa,[Translation Missing],umaa,No Lexicon Match
ũtwii,ũtwii,[Translation Missing],ũtwii,No Lexicon Match
wako,wako,[Translation Missing],wako,No Lexicon Match
Ĩtũlika,ĩtũlika,[Translation Missing],ĩtũlika,No Lexicon Match
mũtĩ,mũtĩ,[Translation Missing],mũtĩ,No Lexicon Match
yoveyawa,veyawa,[Translation Missing],yoveyawa,No Lexicon Match
ũngĩ,ũngĩ,[Translation Missing],ũngĩ,No Lexicon Match
Kakuthu,kuthu,[Translation Missing],kakuthu,No Lexicon Match
kaneyũmba,yũmba,[Translation Missing],kaneyũmba,No Lexicon Match
kaiaa,iaa,[Translation Missing],iaa,No Lexicon Match
wĩvitho,wĩvitho,[Translation Missing],wĩvitho,No Lexicon Match
ũmĩwa,ũmĩwa,[Translation Missing],ũmĩwa,No Lexicon Match
Ndũkavũthĩĩsye,vũthĩĩsa,[Translation Missing],vũthĩĩsya,No Lexicon Match
kakuthu,kakuthu,[Translation Missing],kakuthu,No Lexicon Match
kwaa,kwaa,[Translation Missing],kwaa,No Lexicon Match
Kĩkoe,koa,[Translation Missing],kĩkoe,No Lexicon Match
kĩ,kĩ,[Translation Missing],kĩ,No Lexicon Match
mboka,mboka,[Translation Missing],mboka,No Lexicon Match
Ndũkaakĩĩe,kĩĩa,[Translation Missing],ndũkaakĩĩe,No Lexicon Match
kĩtheka,theka,[Translation Missing],kĩ-theka,No Lexicon Match
kũthunga,thunga,[Translation Missing],thunga,No Lexicon Match
syamata,syamata,[Translation Missing],syamata,No Lexicon Match
akesĩla,kesĩla,[Translation Missing],kesĩla,No Lexicon Match
yalatanĩ,latanĩ,[Translation Missing],latanĩ,No Lexicon Match
syiilea,lea,[Translation Missing],syiilea,No Lexicon Match
ũmũkwata,umũkwata,[Translation Missing],ũmũkwata,No Lexicon Match
katheka,theka,[Translation Missing],theka,No Lexicon Match
kaũkuutwa,ũkuutwa,[Translation Missing],kaũkuutwa,No Lexicon Match
Kĩtheka,theka,[Translation Missing],theka,No Lexicon Match
matũ4,tũ4,[Translation Missing],matũ4,No Lexicon Match
kĩthungu,kĩthungu,[Translation Missing],kĩthungu,No Lexicon Match
kĩsaa,saa,[Translation Missing],kĩ-saa,No Lexicon Match
ũtwĩka,ũtwĩka,[Translation Missing],ũtwĩka,No Lexicon Match
ĩei,ĩei,[Translation Missing],ĩei,No Lexicon Match
nĩkyo,nĩkyo,[Translation Missing],nĩkyo,No Lexicon Match
kĩyĩsĩ,kĩyĩsĩ,[Translation Missing],kĩyĩsĩ,No Lexicon Match
Mbaĩ,mbaĩ,[Translation Missing],mbaĩ,No Lexicon Match
sya,sya,[Translation Missing],sya,No Lexicon Match
ilĩ,ilĩ,[Translation Missing],ilĩ,No Lexicon Match
mũmũ,mũmũ,[Translation Missing],mũmũ,No Lexicon Match
mwiyũ,mwiyũ,[Translation Missing],mwiyũ,No Lexicon Match
Sere,Sera,[Translation Missing],sere,No Lexicon Match
serasya,sya,[Translation Missing],serasya,No Lexicon Match
Wĩĩthya,thya,[Translation Missing],wĩĩthya,No Lexicon Match
mangula,mangula,[Translation Missing],mangula,No Lexicon Match
twesĩle7,esĩla,[Translation Missing],twesĩle,No Lexicon Match
Eka,eka,[Translation Missing],eka,No Lexicon Match
ũtumba,ũtumba,[Translation Missing],ũtumba,No Lexicon Match
ũvῖvye,ũvῖvya,[Translation Missing],ũvῖvye,No Lexicon Match
Vau,vau,[Translation Missing],vau,No Lexicon Match
ũkũĩthya,ĩthya,[Translation Missing],ũkũĩthya,No Lexicon Match
mangũthĩ,mangũthĩ,[Translation Missing],mangũthĩ,No Lexicon Match
nĩvo,nĩvo,[Translation Missing],nĩvo,No Lexicon Match
naĩthasya,ĩthasya,[Translation Missing],ĩthasya,No Lexicon Match
vuvĩ,vuvĩ,[Translation Missing],vuvĩ,No Lexicon Match
mwanake,nake,[Translation Missing],mwanake,No Lexicon Match
Ũkonzawa,ũkonzawa,[Translation Missing],ũkonzawa,No Lexicon Match
wĩmwiyũ,wĩmwiyũ,[Translation Missing],wĩmwiyũ,No Lexicon Match
woma,oma,[Translation Missing],woma,No Lexicon Match
ndũkonzekaa,konzekaa,[Translation Missing],ndũ-konzekaa,No Lexicon Match
Kyũmati,kyũmati,[Translation Missing],kyũmati,No Lexicon Match
kĩiminawa,wa,[Translation Missing],kĩiminawa,No Lexicon Match
kweka,kweka,[Translation Missing],kweka,No Lexicon Match
Kavĩndĩ,vĩndĩ,[Translation Missing],vĩndĩ,No Lexicon Match
mbĩtũke,mbĩtũke,[Translation Missing],mbĩtũke,No Lexicon Match
Mũtĩ,mũtĩ,[Translation Missing],mũtĩ,No Lexicon Match
wendo,wendo,[Translation Missing],wendo,No Lexicon Match
ndũkuawa,awa,[Translation Missing],ndũkuawa,No Lexicon Match
ngalĩ,ngalĩ,[Translation Missing],ngalĩ,No Lexicon Match
mũyo,mũyo,[Translation Missing],mũyo,No Lexicon Match
ndũsyaa,syaa,[Translation Missing],ndũsyaa,No Lexicon Match
mwoomboko,mwoomboko,[Translation Missing],mwoomboko,No Lexicon Match
ndũlĩsĩlawa,lĩsĩlawa,[Translation Missing],ndũlĩsĩlawa,No Lexicon Match
mbongenĩ,mbonga,[Translation Missing],mbongenĩ,No Lexicon Match
ngasũa,sũa,[Translation Missing],ngasũa,No Lexicon Match
nĩwonaa,onaa,[Translation Missing],nĩ-wonaa,No Lexicon Match
ũyambĩĩa,yambĩĩa,[Translation Missing],ũyambĩĩa,No Lexicon Match
kweeka,eeka,[Translation Missing],kweeka,No Lexicon Match
nonginya,nya,[Translation Missing],nonginya,No Lexicon Match
ũsyae,ũsyaa,[Translation Missing],ũsyae,No Lexicon Match
nĩwo,nĩwo,[Translation Missing],nĩwo,No Lexicon Match
wĩkaswe,swa,[Translation Missing],wĩkaswe,No Lexicon Match
mbĩla,mbĩla,[Translation Missing],mbĩla,No Lexicon Match
ũte,ũte,[Translation Missing],ũte,No Lexicon Match
mbonge,mbonge,[Translation Missing],mbonge,No Lexicon Match
munyĩ,munyĩ,[Translation Missing],munyĩ,No Lexicon Match
ũvalũkĩlaa,valũkĩlaa,[Translation Missing],ũvalũkĩlaa,No Lexicon Match
wĩvakuvĩ,vakuvĩ,[Translation Missing],wĩvakuvĩ,No Lexicon Match
wovosya,vosya,[Translation Missing],wovosya,No Lexicon Match
ndwendekaa,endekaa,[Translation Missing],ndw-endekaa,No Lexicon Match
mwiingĩ,ingĩ,[Translation Missing],mwi-ingĩ,No Lexicon Match
mũito,mũito,[Translation Missing],mũito,No Lexicon Match
waa,waa,[Translation Missing],waa,No Lexicon Match
ũmanthwa,nthwa,[Translation Missing],ũmanthwa,No Lexicon Match
Ngai,ngai,[Translation Missing],ngai,No Lexicon Match
ndwĩwaa,waa,[Translation Missing],ndwĩwaa,No Lexicon Match
ũmea,ũmea,[Translation Missing],ũmea,No Lexicon Match
kĩĩmani,kĩĩma,[Translation Missing],kĩĩma,No Lexicon Match
mangalata,mangalata,[Translation Missing],mangalata,No Lexicon Match
kana,kana,[Translation Missing],kana,No Lexicon Match
mbenzi,mbenzi,[Translation Missing],mbenzi,No Lexicon Match
mwako,wako,[Translation Missing],mwako,No Lexicon Match
ũtaumaa,umaa,[Translation Missing],ũtaumaa,No Lexicon Match
atemaa,temaa,[Translation Missing],temaa,No Lexicon Match
ngĩĩtĩ,ngĩĩtĩ,[Translation Missing],ngĩĩtĩ,No Lexicon Match
ũndũ,ũndũ,[Translation Missing],ũndũ,No Lexicon Match
wĩania,wĩania,[Translation Missing],wĩania,No Lexicon Match
ndũyotaa,otaa,[Translation Missing],ndũyotaa,No Lexicon Match
muunyĩ,unya,[Translation Missing],muunyĩ,No Lexicon Match
mũnini,nini,[Translation Missing],mũnini,No Lexicon Match
ndũthũũnawa,thũũnawa,[Translation Missing],thũũnawa,No Lexicon Match
ndũthũũnaa,thũũnaa,[Translation Missing],thũũnaa,No Lexicon Match
mũnene,nene,[Translation Missing],mũnene,No Lexicon Match
ũtemawa,temawa,[Translation Missing],ũtemawa,No Lexicon Match
kĩthũmũsyo,thũmũsyo,[Translation Missing],kĩthũmũsyo,No Lexicon Match
Kinyaa,nyaa,[Translation Missing],kinyaa,No Lexicon Match
kĩthanze,thanda,[Translation Missing],kĩ-thanze,No Lexicon Match
kĩvoo,kĩvoo,[Translation Missing],kĩvoo,No Lexicon Match
Kĩseũ,seũ,[Translation Missing],kĩseũ,No Lexicon Match
kĩitonywa,tonywa,[Translation Missing],kĩitonywa,No Lexicon Match
mũkungo,mũkungo,[Translation Missing],mũkungo,No Lexicon Match
Walea,lea,[Translation Missing],walea,No Lexicon Match
syaaki,syaaki,[Translation Missing],syaaki,No Lexicon Match
wauta,uta,[Translation Missing],wauta,No Lexicon Match
aiti,iti,[Translation Missing],aiti,No Lexicon Match
Aũme,ũma,[Translation Missing],aũme,No Lexicon Match
maindaa,indaa,[Translation Missing],indaa,No Lexicon Match
muu,muu,[Translation Missing],muu,No Lexicon Match
muunĩ,muunĩ,[Translation Missing],muunĩ,No Lexicon Match
syeewa,ewa,[Translation Missing],syeewa,No Lexicon Match
maiya,iya,[Translation Missing],maiya,No Lexicon Match
Ĩla,ĩla,[Translation Missing],ĩla,No Lexicon Match
ĩtulasya,ĩtulasya,[Translation Missing],ĩtulasya,No Lexicon Match
