Surface Word,Tshiluba Lemma,English translation,Glossing,Match Type
mesu,mesu,[Translation Missing],mesu,No Lexicon Match
ne,ne,[Translation Missing],ne,No Lexicon Match
ela,ela,[Translation Missing],ela,No Lexicon Match
panyi,panya,[Translation Missing],panyi,No Lexicon Match
mmone,mona,[Translation Missing],mmone,No Lexicon Match
Tshikuyu,kuyu,[Translation Missing],tshikuyu,No Lexicon Match
tu,tu,[Translation Missing],tu,No Lexicon Match
tshikulule,tshikulula,[Translation Missing],tshikulula,No Lexicon Match
musenga,senga,[Translation Missing],mu-senga,No Lexicon Match
muena,ena,[Translation Missing],mu-ena,No Lexicon Match
tshilema,tshilema,[Translation Missing],tshilema,No Lexicon Match
tumubela,bela,[Translation Missing],tumubela,No Lexicon Match
pa,pa,[Translation Missing],pa,No Lexicon Match
bantu,bantu,[Translation Missing],bantu,No Lexicon Match
ngela,ngela,[Translation Missing],ngela,No Lexicon Match
bijimina,jimina,[Translation Missing],bi-jimina,No Lexicon Match
mbianyi,mbianyi,[Translation Missing],mbianyi,No Lexicon Match
Mbuji,uMbuji,[Translation Missing],mbuji,No Lexicon Match
utu,utu,[Translation Missing],utu,No Lexicon Match
udia,dia,[Translation Missing],u-dia,No Lexicon Match
pabula,pabula,[Translation Missing],pabula,No Lexicon Match
monji,monji,[Translation Missing],monji,No Lexicon Match
wenda,enda,[Translation Missing],enda,No Lexicon Match
Kunangidi,nangidi,[Translation Missing],nangidi,No Lexicon Match
bia,bia,[Translation Missing],bia,No Lexicon Match
lelu,lelu,[Translation Missing],lelu,No Lexicon Match
ewu,wu,[Translation Missing],ewu,No Lexicon Match
bilengele,lengela,[Translation Missing],bi-lengele,No Lexicon Match
bitshi,tshi,[Translation Missing],bitshi,No Lexicon Match
lualua,lualua,[Translation Missing],lualua,No Lexicon Match
wabenda,benda,[Translation Missing],wabenda,No Lexicon Match
nkuba,nkuba,[Translation Missing],nkuba,No Lexicon Match
Kabuya,buya,[Translation Missing],buya,No Lexicon Match
mawu,wawu,[Translation Missing],mawu,No Lexicon Match
filaku,fila,[Translation Missing],filaku,No Lexicon Match
biuma,uma,[Translation Missing],bi-uma,No Lexicon Match
mukaji,mukaji,[Translation Missing],mukaji,No Lexicon Match
alekele,lekela,[Translation Missing],lekela,No Lexicon Match
kutuila,tuila,[Translation Missing],tuila,No Lexicon Match
banga,banga,[Translation Missing],banga,No Lexicon Match
mulenga,lenga,[Translation Missing],mu-lenga,No Lexicon Match
upanga,panga,[Translation Missing],u-panga,No Lexicon Match
kalema,lema,[Translation Missing],ka-lema,No Lexicon Match
Kuibidija,ibidija,[Translation Missing],ibidija,No Lexicon Match
mpuku,mpuku,[Translation Missing],mpuku,No Lexicon Match
chomba,chomba,[Translation Missing],chomba,No Lexicon Match
ni,ni,[Translation Missing],ni,No Lexicon Match
akudila,dila,[Translation Missing],dila,No Lexicon Match
matala,tala,[Translation Missing],matala,No Lexicon Match
Kajiji,jiji,[Translation Missing],kajiji,No Lexicon Match
ka,ka,[Translation Missing],ka,No Lexicon Match
bundu,bundu,[Translation Missing],bundu,No Lexicon Match
kakaya,ya,[Translation Missing],kakaya,No Lexicon Match
tshitalu,tshitalu,[Translation Missing],tshitalu,No Lexicon Match
mutshina,mutshina,[Translation Missing],mu-tshina,No Lexicon Match
Nzolu,uNzolu,[Translation Missing],nzolu,No Lexicon Match
kufua,fua,[Translation Missing],fua,No Lexicon Match
anu,wanu,[Translation Missing],anu,No Lexicon Match
bulunda,bulunda,[Translation Missing],bulunda,No Lexicon Match
buku,buku,[Translation Missing],buku,No Lexicon Match
ukuma,ukuma,[Translation Missing],ukuma,No Lexicon Match
ngoma,ngoma,[Translation Missing],ngoma,No Lexicon Match
bakola,kola,[Translation Missing],ba-kola,No Lexicon Match
baja,ja,[Translation Missing],ba-ja,No Lexicon Match
maja,ja,[Translation Missing],ma-ja,No Lexicon Match
Kwatshila,tshila,[Translation Missing],tshila,No Lexicon Match
mpasu,mpasu,[Translation Missing],mpasu,No Lexicon Match
pakola,kola,[Translation Missing],pa-kola,No Lexicon Match
akukuatshia,kuatshia,[Translation Missing],a-ku-kuatshia,No Lexicon Match
pende,penda,[Translation Missing],penda,No Lexicon Match
Baya,BANTU2,[Translation Missing],baya,No Lexicon Match
waya,waya,[Translation Missing],waya,No Lexicon Match
biwashala,shala,[Translation Missing],biwa-shala,No Lexicon Match
washadila,shadila,[Translation Missing],shadila,No Lexicon Match
amu,wamu,[Translation Missing],amu,No Lexicon Match
Wapesha,pesha,[Translation Missing],pesha,No Lexicon Match
kazolu,kazolu,[Translation Missing],kazolu,No Lexicon Match
kupeshi,pesha,[Translation Missing],kupeshi,No Lexicon Match
kanyunyi,kanyunyi,[Translation Missing],kanyunyi,No Lexicon Match
Budimu,BANTU14,[Translation Missing],Budimu,No Lexicon Match
bupite,pita,[Translation Missing],pita,No Lexicon Match
buanga,buanga,[Translation Missing],buanga,No Lexicon Match
Mukalenga,lenga,[Translation Missing],lenga,No Lexicon Match
Diwadia,wadia,[Translation Missing],Di-wadia,No Lexicon Match
tshula,tshula,[Translation Missing],tshula,No Lexicon Match
kindiwamena,mena,[Translation Missing],kindiwamena,No Lexicon Match
mpusu,mpusu,[Translation Missing],mpusu,No Lexicon Match
Kusekiseki,sekisa,[Translation Missing],sekiseki,No Lexicon Match
mweneba,eneba,[Translation Missing],mweneba,No Lexicon Match
kumanyi,manya,[Translation Missing],kumanya,No Lexicon Match
manyi,manya,[Translation Missing],manyi,No Lexicon Match
tshiyiya,tshiyiya,[Translation Missing],tshiyiya,No Lexicon Match
Dinanga,Dinanga,[Translation Missing],Dinanga,No Lexicon Match
ndilengela,lengela,[Translation Missing],ndi-lengela,No Lexicon Match
bienzelu,enzelu,[Translation Missing],enzelu,No Lexicon Match
tshanza,tshanza,[Translation Missing],tshanza,No Lexicon Match
tshia,tshia,[Translation Missing],tshia,No Lexicon Match
mutshima,mutshima,[Translation Missing],mu-tshima,No Lexicon Match
bimpa,mpa,[Translation Missing],bimpa,No Lexicon Match
kutshi,kutshi,[Translation Missing],kutshi,No Lexicon Match
kosa,kosa,[Translation Missing],kosa,No Lexicon Match
Bulunda,BANTU14,[Translation Missing],bulunda,No Lexicon Match
bupita,pita,[Translation Missing],bu-pita,No Lexicon Match
mushinga,shinga,[Translation Missing],mu-shinga,No Lexicon Match
Kebeji,kebeji,[Translation Missing],kebeji,No Lexicon Match
kajimina,jimina,[Translation Missing],ka-jimina,No Lexicon Match
Tshiamuntu,Tshiamuntu,[Translation Missing],tshiamuntu,No Lexicon Match
tshiamuntu,tshiamuntu,[Translation Missing],tshiamuntu,No Lexicon Match
tshanzambi,tshanzambi,[Translation Missing],tshanzambi,No Lexicon Match
muavuala,vuala,[Translation Missing],vuala,No Lexicon Match
vuala,vuala,[Translation Missing],vuala,No Lexicon Match
kabuta,buta,[Translation Missing],ka-buta,No Lexicon Match
kavuala,vuala,[Translation Missing],vuala,No Lexicon Match
Tshiadima,dima,[Translation Missing],tshiadima,No Lexicon Match
umue,umue,[Translation Missing],umue,No Lexicon Match
tshadia,tshadia,[Translation Missing],tshadia,No Lexicon Match
banyi,banyi,[Translation Missing],banyi,No Lexicon Match
Bakupa,pa,[Translation Missing],pa,No Lexicon Match
peba,peba,[Translation Missing],peba,No Lexicon Match
wapangana,pangana,[Translation Missing],wa-pangana,No Lexicon Match
Nkunda,kunda,[Translation Missing],nkunda,No Lexicon Match
ya,ya,[Translation Missing],ya,No Lexicon Match
benyi,benya,[Translation Missing],benyi,No Lexicon Match
iboba,boba,[Translation Missing],iboba,No Lexicon Match
mata,mata,[Translation Missing],mata,No Lexicon Match
munyoka,nyoka,[Translation Missing],mu-nyoka,No Lexicon Match
pakena,kena,[Translation Missing],pa-kena,No Lexicon Match
mputa,mputa,[Translation Missing],mputa,No Lexicon Match
bashibeya,shibeya,[Translation Missing],shibeya,No Lexicon Match
batuta,tuta,[Translation Missing],ba-tuta,No Lexicon Match
kajiji,jiji,[Translation Missing],kajiji,No Lexicon Match
Walala,lala,[Translation Missing],walala,No Lexicon Match
nzalakaladi,ladi,[Translation Missing],nzalakaladi,No Lexicon Match
mwanda,anda,[Translation Missing],mwanda,No Lexicon Match
Tshidibudibu,Tshidibudibu,[Translation Missing],tshidibudibu,No Lexicon Match
tumpu,tumpu,[Translation Missing],tumpu,No Lexicon Match
ntumpu,ntumpu,[Translation Missing],ntumpu,No Lexicon Match
mianda,anda,[Translation Missing],mi-anda,No Lexicon Match
yakakala,kala,[Translation Missing],yaka-kala,No Lexicon Match
kinyalelu,nyalelu,[Translation Missing],ki-nyalelu,No Lexicon Match
Nvula,vula,[Translation Missing],nvula,No Lexicon Match
uleja,ja,[Translation Missing],u-leja,No Lexicon Match
kalume,luma,[Translation Missing],kalume,No Lexicon Match
kwabu,wabu,[Translation Missing],kwabu,No Lexicon Match
Padi,muPadi,[Translation Missing],padi,No Lexicon Match
tutende,tenda,[Translation Missing],tenda,No Lexicon Match
tumonangana,monangana,[Translation Missing],tumonangana,No Lexicon Match
tudi,tudi,[Translation Missing],tudi,No Lexicon Match
tutendangana,tendangana,[Translation Missing],tendangana,No Lexicon Match
Kashingi,shingi,[Translation Missing],shingi,No Lexicon Match
muditela,ditela,[Translation Missing],mu-di-tela,No Lexicon Match
bwalu,walu,[Translation Missing],bwalu,No Lexicon Match
buenda,enda,[Translation Missing],enda,No Lexicon Match
mudimanya,manya,[Translation Missing],mu-di-manya,No Lexicon Match
Kutshina,tshina,[Translation Missing],tshina,No Lexicon Match
kuikala,ikala,[Translation Missing],ikala,No Lexicon Match
wenu,wenu,[Translation Missing],wenu,No Lexicon Match
kutshina,tshina,[Translation Missing],tshina,No Lexicon Match
muimpe,impe,[Translation Missing],impe,No Lexicon Match
Bidi,BANTU2,[Translation Missing],bidi,No Lexicon Match
ntuilu,ntuilu,[Translation Missing],ntuilu,No Lexicon Match
bidi,bidi,[Translation Missing],bidi,No Lexicon Match
mpelelu,mpelelu,[Translation Missing],mpelelu,No Lexicon Match
kabiena,biena,[Translation Missing],ka-biena,No Lexicon Match
ndambilu,ndambilu,[Translation Missing],ndambilu,No Lexicon Match
mumue,mumua,[Translation Missing],mumue,No Lexicon Match
Babela,bela,[Translation Missing],bela,No Lexicon Match
mufu,mufu,[Translation Missing],mufu,No Lexicon Match
teleja,ja,[Translation Missing],teleja,No Lexicon Match
Bupua,pua,[Translation Missing],bupua,No Lexicon Match
bupua,pua,[Translation Missing],bupua,No Lexicon Match
mumukana,kana,[Translation Missing],mumukana,No Lexicon Match
mwa,mwa,[Translation Missing],mwa,No Lexicon Match
muenenbu,enenbu,[Translation Missing],mu-enenbu,No Lexicon Match
Nyunga,nyunga,[Translation Missing],nyunga,No Lexicon Match
diakuila,ila,[Translation Missing],diaku-ila,No Lexicon Match
kuta,ta,[Translation Missing],kuta,No Lexicon Match
kabomba,bomba,[Translation Missing],ka-bomba,No Lexicon Match
Kubunda,bunda,[Translation Missing],bunda,No Lexicon Match
maalu,maalu,[Translation Missing],maalu,No Lexicon Match
nku,nku,[Translation Missing],nku,No Lexicon Match
kola,kola,[Translation Missing],kola,No Lexicon Match
Butuku,BANTU14,[Translation Missing],Butuku,No Lexicon Match
kalela,kalela,[Translation Missing],kalela,No Lexicon Match
disu,disu,[Translation Missing],disu,No Lexicon Match
difua,fua,[Translation Missing],di-fua,No Lexicon Match
Bantu,BANTU2,[Translation Missing],BANTU,No Lexicon Match
kabena,bena,[Translation Missing],ka-bena,No Lexicon Match
kuleja,leja,[Translation Missing],leja,No Lexicon Match
kua,kua,[Translation Missing],kua,No Lexicon Match
tatu,tatu,[Translation Missing],tatu,No Lexicon Match
Tshifuafua,Tshifuafua,[Translation Missing],tshifuafua,No Lexicon Match
ndibaka,baka,[Translation Missing],ndi-baka,No Lexicon Match
kabuena,buena,[Translation Missing],ka-buena,No Lexicon Match
bufua,fua,[Translation Missing],bufua,No Lexicon Match
kabufu,bufu,[Translation Missing],kabufu,No Lexicon Match
tshifuafua,tshifuafua,[Translation Missing],tshifuafua,No Lexicon Match
wendenda,endenda,[Translation Missing],wendenda,No Lexicon Match
ngudiadia,dia,[Translation Missing],ngudiadia,No Lexicon Match
musuasua,suasua,[Translation Missing],mu-suasua,No Lexicon Match
Kupa,pa,[Translation Missing],pa,No Lexicon Match
teka,teka,[Translation Missing],teka,No Lexicon Match
budika,budika,[Translation Missing],budika,No Lexicon Match
dimue,mua,[Translation Missing],dimua,No Lexicon Match
uya,uya,[Translation Missing],uya,No Lexicon Match
kukulula,kulula,[Translation Missing],kulula,No Lexicon Match
Tshidia,Tshidia,[Translation Missing],tshidia,No Lexicon Match
tshiukuta,tshiukuta,[Translation Missing],tshiukuta,No Lexicon Match
tshiabikila,tshiabikila,[Translation Missing],tshiabikila,No Lexicon Match
Mulopwe,uMulopwe,[Translation Missing],mulopwe,No Lexicon Match
Yi,yi,[Translation Missing],yi,No Lexicon Match
manseba,nseba,[Translation Missing],manseba,No Lexicon Match
Bakuanyisha,anyisha,[Translation Missing],anyisha,No Lexicon Match
bulambi,bulambi,[Translation Missing],bulambi,No Lexicon Match
bayebe,yeba,[Translation Missing],yeba,No Lexicon Match
uma,uma,[Translation Missing],uma,No Lexicon Match
mbale,bala,[Translation Missing],mbale,No Lexicon Match
Mulombela,lombela,[Translation Missing],mulombela,No Lexicon Match
kajiminyi,jiminyi,[Translation Missing],kajiminyi,No Lexicon Match
mpata,mpata,[Translation Missing],mpata,No Lexicon Match
yeye,yeye,[Translation Missing],yeye,No Lexicon Match
munkatshi,munkatshi,[Translation Missing],munkatshi,No Lexicon Match
metu,metu,[Translation Missing],metu,No Lexicon Match
manene,nene,[Translation Missing],manene,No Lexicon Match
Bamona,mona,[Translation Missing],mona,No Lexicon Match
mpala,mpala,[Translation Missing],mpala,No Lexicon Match
batshina,tshina,[Translation Missing],ba-tshina,No Lexicon Match
bakimina,mina,[Translation Missing],baki-mina,No Lexicon Match
dikoshi,koshi,[Translation Missing],di-koshi,No Lexicon Match
Kuabenda,benda,[Translation Missing],abenda,No Lexicon Match
nkulu,nkulu,[Translation Missing],nkulu,No Lexicon Match
kwa,kwa,[Translation Missing],kwa,No Lexicon Match
mutshi,mutshi,[Translation Missing],mutshi,No Lexicon Match
Ndombo,uNdombo,[Translation Missing],ndombo,No Lexicon Match
nkese,nkese,[Translation Missing],nkese,No Lexicon Match
waba,waba,[Translation Missing],waba,No Lexicon Match
nkaka,nkaka,[Translation Missing],nkaka,No Lexicon Match
mupongu,mupongu,[Translation Missing],mu-pongu,No Lexicon Match
tshoto,tshoto,[Translation Missing],tshoto,No Lexicon Match
ulowa,lowa,[Translation Missing],u-lowa,No Lexicon Match
bulowavi,bulowavi,[Translation Missing],bulowavi,No Lexicon Match
muetu,etu,[Translation Missing],mu-etu,No Lexicon Match
tente,tenta,[Translation Missing],tenta,No Lexicon Match
bieba,eba,[Translation Missing],eba,No Lexicon Match
pebe,peba,[Translation Missing],pebe,No Lexicon Match
Kantu,kantu,[Translation Missing],kantu,No Lexicon Match
kabenda,benda,[Translation Missing],ka-benda,No Lexicon Match
kantu,kantu,[Translation Missing],kantu,No Lexicon Match
mambu,mambu,[Translation Missing],mambu,No Lexicon Match
Tshishi,Tshishi,[Translation Missing],tshishi,No Lexicon Match
tshidiadia,tshidiadia,[Translation Missing],tshidiadia,No Lexicon Match
lukunda,kunda,[Translation Missing],lukunda,No Lexicon Match
tshidi,tshidi,[Translation Missing],tshidi,No Lexicon Match
Nkashama,shama,[Translation Missing],shama,No Lexicon Match
udi,udi,[Translation Missing],udi,No Lexicon Match
mudima,dima,[Translation Missing],mu-dima,No Lexicon Match
ngudi,ngudi,[Translation Missing],ngudi,No Lexicon Match
unyanga,unyanga,[Translation Missing],unyanga,No Lexicon Match
tshienda,enda,[Translation Missing],tshienda,No Lexicon Match
tshiseba,tshiseba,[Translation Missing],tshiseba,No Lexicon Match
tshikonyangana,tshikonyangana,[Translation Missing],tshikonyangana,No Lexicon Match
mushiku,mushiku,[Translation Missing],mushiku,No Lexicon Match
muatshi,muatshi,[Translation Missing],muatshi,No Lexicon Match
mudiadia,dia,[Translation Missing],mu-dia-dia,No Lexicon Match
tshi,tshi,[Translation Missing],tshi,No Lexicon Match
Katende,tenda,[Translation Missing],tenda,No Lexicon Match
kupopoka,popoka,[Translation Missing],popoka,No Lexicon Match
nsala,nsala,[Translation Missing],nsala,No Lexicon Match
nke,nke,[Translation Missing],nke,No Lexicon Match
buana,buana,[Translation Missing],buana,No Lexicon Match
nyunyi,nyunyi,[Translation Missing],nyunyi,No Lexicon Match
Biwamona,mona,[Translation Missing],mona,No Lexicon Match
katende,tenda,[Translation Missing],tenda,No Lexicon Match
kuulu,kuulu,[Translation Missing],kuulu,No Lexicon Match
kimana,mana,[Translation Missing],ki-mana,No Lexicon Match
kakupa,pa,[Translation Missing],kaku-pa,No Lexicon Match
wamanya,manya,[Translation Missing],wa-manya,No Lexicon Match
tshikondo,tshikondo,[Translation Missing],tshikondo,No Lexicon Match
ntshikole,ntshikole,[Translation Missing],ntshikole,No Lexicon Match
Udamadima,dima,[Translation Missing],udamadima,No Lexicon Match
Kadianyishi,dianyishi,[Translation Missing],kadianyishi,No Lexicon Match
banyishanyisha,nyishanyisha,[Translation Missing],nyishanyisha,No Lexicon Match
mbamumonyi,monya,[Translation Missing],mbamumonyi,No Lexicon Match
Kwitabi,itabi,[Translation Missing],itabi,No Lexicon Match
mbulowa,mbulowa,[Translation Missing],mbulowa,No Lexicon Match
bwa,wa,[Translation Missing],bwa,No Lexicon Match
tshota,tshota,[Translation Missing],tshota,No Lexicon Match
Mutshoku,uMutshoku,[Translation Missing],mutshoku,No Lexicon Match
watshiakabi,tshiakabi,[Translation Missing],tshiakabi,No Lexicon Match
bakamutapa,mutapa,[Translation Missing],mutapa,No Lexicon Match
Mulunda,lunda,[Translation Missing],mulunda,No Lexicon Match
mwimpe,impe,[Translation Missing],impe,No Lexicon Match
batu,batu,[Translation Missing],batu,No Lexicon Match
bamumanya,manya,[Translation Missing],ba-mumanya,No Lexicon Match
diba,diba,[Translation Missing],diba,No Lexicon Match
diadikenga,kenga,[Translation Missing],diadikenga,No Lexicon Match
Kabua,bua,[Translation Missing],kabua,No Lexicon Match
kalubilu,kalubilu,[Translation Missing],kalubilu,No Lexicon Match
kakashiya,shiya,[Translation Missing],kaka-shiya,No Lexicon Match
nyama,nyama,[Translation Missing],nyama,No Lexicon Match
Kadilu,dilu,[Translation Missing],kadilu,No Lexicon Match
katshidi,tshidi,[Translation Missing],ka-tshidi,No Lexicon Match
ku,ku,[Translation Missing],ku,No Lexicon Match
lubalabala,balabala,[Translation Missing],lubalabala,No Lexicon Match
wajima,jima,[Translation Missing],wa-jima,No Lexicon Match
kakuate,kuata,[Translation Missing],kakuate,No Lexicon Match
mukuta,ta,[Translation Missing],mukuta,No Lexicon Match
mule,mule,[Translation Missing],mule,No Lexicon Match
kangula,kangula,[Translation Missing],kangula,No Lexicon Match
mudinaya,ya,[Translation Missing],mu-dinaya,No Lexicon Match
katukajimina,tukajimina,[Translation Missing],katukajimina,No Lexicon Match
Kabuluku,buluku,[Translation Missing],kabuluku,No Lexicon Match
katumbisha,tumba,[Translation Missing],tumbisha,No Lexicon Match
yaki,waki,[Translation Missing],yaki,No Lexicon Match
nsengu,nsengu,[Translation Missing],nsengu,No Lexicon Match
Kabundi,bundi,[Translation Missing],kabundi,No Lexicon Match
dinkelengeze,nkelengeza,[Translation Missing],di-nkelengeza,No Lexicon Match
tshibelu,tshibelu,[Translation Missing],tshibelu,No Lexicon Match
tshimue,tshimua,[Translation Missing],tshimua,No Lexicon Match
ntshiuwule,tshiuwula,[Translation Missing],ntshiuwule,No Lexicon Match
nyingu,nyingu,[Translation Missing],nyingu,No Lexicon Match
Kakulumpe,kulumpa,[Translation Missing],kulumpe,No Lexicon Match
kabanyabanya,banyabanya,[Translation Missing],kabanyabanya,No Lexicon Match
dinu,winu,[Translation Missing],dinu,No Lexicon Match
dia,dia,[Translation Missing],dia,No Lexicon Match
wetu,wetu,[Translation Missing],wetu,No Lexicon Match
umbule,umbule,[Translation Missing],umbule,No Lexicon Match
nshima,nshima,[Translation Missing],nshima,No Lexicon Match
Kakulakaji,lakaji,[Translation Missing],kulakaji,No Lexicon Match
kadie,dia,[Translation Missing],dia,No Lexicon Match
kosha,kosha,[Translation Missing],kosha,No Lexicon Match
nzubu,nzubu,[Translation Missing],nzubu,No Lexicon Match
Katshi,tshi,[Translation Missing],katshi,No Lexicon Match
kulu,kulu,[Translation Missing],kulu,No Lexicon Match
kakuluile,kulua,[Translation Missing],kulua,No Lexicon Match
Kafuta,futa,[Translation Missing],futa,No Lexicon Match
