Surface Word,Chiga Lemma,English translation,Glossing,Match Type
byokubanza,ukubanza,[Translation Missing],ukubanza N;SG;PSSB14,No Lexicon Match
bakusingwa,singa,"overcome, vanquish, win",singa V;PRS;PROG;3;PL,PanLex Exact Match
wekitinisa,ekitinisa,honor,wekitinisa V;PRS;HAB;2;SG,PanLex Exact Match
nibiba,biba,"plant, sow",biba V;PRS,PanLex Exact Match
owamani,amani,"great, powerful, power, strength",owamani N;SG;BANTU1,Substring Overlap
Nimutahiwawe,tahiwawe,"back, ridge, village, inhabited hill, keel (Inferred via BantuBERTa)",tahiwawe V;PRS;HAB;1;PL,BantuBERTa Vector Neighborhood
Shashura,shashura,pay,Shashura,PanLex Exact Match
Okukurisa,kuri,"if, that over there",kurisa V;NFIN,Substring Overlap
byingi,ingi,abundant,byingi DET;POSS;PSS1P;BANTU14,Substring Overlap
omumiti,umumiti,"tree, bar (Inferred via BantuBERTa)",umumiti N;SG;BANTU1,BantuBERTa Vector Neighborhood
ekaruma,ruma,bite,ruma V;PST;REM;3;SG,PanLex Exact Match
takagaruka,garuka,return,garuka V;PST,PanLex Exact Match
ahamukono,kono,"arm, hand",ahamukono N;SG;BANTU1,Substring Overlap
omumuringo,muri,"you are, in there",umuringo N;SG;BANTU1,Substring Overlap
otakagyire,gya,"house, white hair, grey hair (Inferred via BantuBERTa)",takagya V;PST;REC;2;SG,BantuBERTa Vector Neighborhood
atine,arigentina,"Argentina, 𐐂𐑉𐐾𐐲𐑌𐐻𐐨𐑌𐐲",tina V;PST;REC;3;SG,Substring Overlap
kwomwana,omwana,"child, son, nephew, niece, young animal",omwana V;PRS;HAB;3;SG,PanLex Exact Match
akwegura,egura,carry,egura V;PRS;HAB;3;SG,PanLex Exact Match
kusingaho,singa,"overcome, vanquish, win",singaho V;NFIN,Substring Overlap
omuntu,omuntu,person,umuntu N;SG;BANTU1,PanLex Exact Match
Nomanya,manya,know,manya V;PRS;HAB;1;SG,PanLex Exact Match
Otakahikyire,hikya,[Translation Missing],takahikya V;PST;REC;2;SG,No Lexicon Match
takatechera,techera,"hunger, famine (Inferred via BantuBERTa)",techera V;PST;REM;1;PL,BantuBERTa Vector Neighborhood
eyawe,ahabwawe,for you,wawe DET;POSS;PSS1P;BANTU9,Substring Overlap
ebiri,biri,"body, two",ebiri N;SG;BANTU14,PanLex Exact Match
akumaririza,kumaririza,complete,maririza V;PST;REC;1;SG,Substring Overlap
okusingaho,singa,"overcome, vanquish, win",singaho V;NFIN,Substring Overlap
Ebintu,umuntu,[Translation Missing],intu N;PL;BANTU10,No Lexicon Match
nyina,nyina,mother,nyina V;PST;REC;1;SG,PanLex Exact Match
abasigara,sigara,"remain, stay, stay behind",sigara V;PRS,PanLex Exact Match
Omutumwa,umutumwa,[Translation Missing],umutumwa N;SG;BANTU1,No Lexicon Match
kyihango,hango,"fat, thick, great, large",kyihango N;SG;BANTU15,Substring Overlap
ahabwokuremwa,ukuremwa,"woman, wife (Inferred via BantuBERTa)",ukuremwa N;PL;BANTU1,BantuBERTa Vector Neighborhood
Okurime,akairima,half-light,ukurime N;SG;BANTU15,Substring Overlap
Nomurungi,rungi,good,umurungi N;SG;BANTU1,Substring Overlap
Burimuntu,bantu14,yoke (Inferred via BantuBERTa),BANTU14,BantuBERTa Vector Neighborhood
nigwotsya,gwotsya,fire (Inferred via BantuBERTa),gwotsya V;PRS,BantuBERTa Vector Neighborhood
Okurekyera,rekyera,cattle (Inferred via BantuBERTa),rekyera V;NFIN,BantuBERTa Vector Neighborhood
kukwisa,kwisa,"hunger, famine (Inferred via BantuBERTa)",kwisa V;NFIN,BantuBERTa Vector Neighborhood
Omuteguzi,umuteguzi,[Translation Missing],umuteguzi N;SG;BANTU1,No Lexicon Match
yakwetegyereza,abeetegyereza,intelligent people,etegyereza V;PST;REC;3;SG,Substring Overlap
kyagwe,wagwe,"mango, mango-tree (Inferred via BantuBERTa)",gwe DET;POSS;PSS1S;BANTU15,BantuBERTa Vector Neighborhood
mukozi,omukozi,workman,mukozi N;SG;BANTU1,Substring Overlap
okutandika,kutandika,start work,tandika V;NFIN,Substring Overlap
nayija,yija,"cow, cattle (Inferred via BantuBERTa)",yija V;PST;REC;1;SG,BantuBERTa Vector Neighborhood
wawe,ahabwawe,for you,wawe DET;POSS;PSS1S;BANTU1,Substring Overlap
omumwazyo,umwazyo,"haze, skin (Inferred via BantuBERTa)",umwazyo N;SG;BANTU1,BantuBERTa Vector Neighborhood
gubamukuzamu,gubamukuzamu,[Translation Missing],gubamukuzamu N;SG;BANTU14,No Lexicon Match
obworo,obworo,"lazy, weak",ubworo N;SG;BANTU14,PanLex Exact Match
ryekiti,ekiti,"stick, wild tree, handle",ekiti V;PRS;HAB;3;SG,PanLex Exact Match
mirungi,omurungi,"good, beautiful, kind, sweetheart, husband",mirungi N;PL;BANTU4,Substring Overlap
tekumoka,kugomoka,grow fat,tekumoka V;PRS,Substring Overlap
nibitura,batura,"pull up, root up",nibitura N;PL;BANTU9,Substring Overlap
Owayesigyire,sigya,"lazy, weak (Inferred via BantuBERTa)",uyesigyire N;PL;BANTU1,BantuBERTa Vector Neighborhood
Mikuruga,burugariya,"Bulgaria, 𐐒𐐲𐑊𐑀𐐯𐑉𐐨𐐲",uMikuruga N;PL;BANTU4,Substring Overlap
enyungu,nyungu,"tobacco pipe, cooking pot, (earthen) cooking pot",enyungu N;SG;BANTU10,PanLex Exact Match
otiine,tiina,be afraid,tiina V;PST;REC;2;SG,PanLex Exact Match
bigubire,guba,"home, at home (Inferred via BantuBERTa)",guba V;PST;REC;3;PL,BantuBERTa Vector Neighborhood
ekabuzabuza,buzabuza,two (Inferred via BantuBERTa),buzabuza V;PST;REM;3;SG,BantuBERTa Vector Neighborhood
rweye,kweyemeka,usurp,rweya,Substring Overlap
wondijo,ondi,"another, the other",wondijo DET;POSS;PSS3P;BANTU1,Substring Overlap
bwanyima,nyima,"at the back of, behind",nyima V;PST;REC;3;SG,PanLex Exact Match
kutunga,tunga,"get, obtain, keep livestock, current, stream",tunga V;PRS;PROG;3;SG,PanLex Exact Match
Okwitwa,ita,kill,itwa V;PRS;HAB;2;SG,PanLex Exact Match
nakutegyeka,kutegyeka,"rule, manage",tegyeka V;PST;REC;1;SG,Substring Overlap
amabare,bare,stone,bare V;PRS;HAB;3;SG,PanLex Exact Match
bwamukuruweye,kuru,"old, master, mature",mukuruweye V;PST;REC;3;SG,Substring Overlap
byishewe,shewa,son (Inferred via BantuBERTa),ishewe N;SG;BANTU14,BantuBERTa Vector Neighborhood
omwoya,oya,"feathers, fur, gas, vapour",omwoya N;SG;BANTU1,PanLex Exact Match
kuziina,eiziina,name,ziina V;NFIN,Substring Overlap
omwika,omwika,"smoke, gas, breath, vapour, air",mwika V;PRS;HAB;2;SG,PanLex Exact Match
ogurikusingaho,guri,that over there,gurikusingaho V;PRS;PROG;2;SG,Substring Overlap
empu,mpu,cattle (Inferred via BantuBERTa),empu PRO;INT;INTENS,BantuBERTa Vector Neighborhood
arimunywani,enywani,animal friend,arimunywani N;PL;BANTU1,Substring Overlap
Omutayayirwa,muta,"how, how?",umutayayirwa N;PL;BANTU1,Substring Overlap
omurinyaruju,muri,"you are, in there",umurinyaruju N;SG;BANTU1,Substring Overlap
biri,biri,"body, two",biri DET;POSS;PSS1P;BANTU2,PanLex Exact Match
Omwana,omwana,"child, son, nephew, niece, young animal",omwana N;SG;BANTU1,PanLex Exact Match
yibakutekyeramu,ramu,"brother-in-law, sister-in-law",tekyeramu V;PRS;HAB;3;SG,Substring Overlap
ebijuma,juma,"abuse, fruit, grain",bijuma V;PRS,PanLex Exact Match
endijo,endi,"another, the other, eater",endijo N;SG;BANTU10,Substring Overlap
wenjaara,enjaara,[Translation Missing],enjaara V;PRS;HAB;2;SG,No Lexicon Match
gwawe,ahabwawe,for you,gwawe DET;POSS;PSS1S;BANTU1,Substring Overlap
omugyenyi,omugyenyi,"guest, stranger",umugyenyi N;SG;BANTU1,PanLex Exact Match
nigukurira,kuri,"if, that over there",gukurira V;PRS,Substring Overlap
kwotsya,agarikwotsya,hot,kwotsya V;PRS;HAB;3;SG,Substring Overlap
nakuteka,teka,"boil, cook",teka V;PST;REC;1;SG,PanLex Exact Match
makumyana,myanamar,"Myanmar (Burma), Myanmar, 𐐣𐐨𐐲𐑌𐑋𐐪𐑉",myana V;PST;REC;2;PL,Substring Overlap
burugo,oburugo,source,burugo N;SG;BANTU14,Substring Overlap
nagobera,gobera,"here, at, on, to, about (Inferred via BantuBERTa)",gobera V;PST;REC;1;SG,BantuBERTa Vector Neighborhood
Banza,bantu2,[Translation Missing],banza V;PRS;PROG;3;SG,No Lexicon Match
kuhangura,gura,buy,hangura V;NFIN,Substring Overlap
nibo,nibo,[Translation Missing],nibo N;SG;BANTU9,No Lexicon Match
Omuzengyerezi,omuzengyerezi,wanderer,umuzengyerezi N;PL;BANTU1,PanLex Exact Match
arikurya,rya,"eat, wire, (brass) wire",rya V;PST;REC;1;SG,PanLex Exact Match
omugongo,omugongo,"back, ridge, village, inhabited hill, keel",umugongo N;SG;BANTU1,PanLex Exact Match
erikumuha,muha,"jackal, fox",muha V;PRS;PROG;3;SG,PanLex Exact Match
arikuruga,burugariya,"Bulgaria, 𐐒𐐲𐑊𐑀𐐯𐑉𐐨𐐲",ruga V;PRS;PROG;3;SG,Substring Overlap
weye,kweyemeka,usurp,weye DET;POSS;PSS1P;BANTU1,Substring Overlap
mama,ebyʼ amamanzi,heroic,mama N;PL;BANTU6,Substring Overlap
bwa,bwa,dog,bwa V;PRS,PanLex Exact Match
arikutunga,tunga,"get, obtain, keep livestock, current, stream",tunga V;PRS;PROG;3;SG,PanLex Exact Match
entsya,entsya,"fine weather, cracks on the side of the feet",entsya N;SG;BANTU10,PanLex Exact Match
obwire,bwa,dog,obwa V;PST;REC;2;SG,PanLex Exact Match
nkojo,enkojo,scar,nkojo N;SG;BANTU10,Substring Overlap
Kakuha,ha,"give, who, who?",ha V;PRS;PROG;3;SG,PanLex Exact Match
aryaguma,kuguma,"remain, be well, continue, be hard and firm, do always, kugu",guma V;PRS;PROG;3;SG,Substring Overlap
kukwata,kwata,"seize, coagulate, spill, pour, crack, reveal",kwata V;NFIN,PanLex Exact Match
kugamba,gamba,"speak, war",gamba V;NFIN,PanLex Exact Match
tibakamusindiika,musindiika,[Translation Missing],musindiika V;PST,No Lexicon Match
nungyi,nungyi,father (Inferred via BantuBERTa),nungyi N;SG;BANTU1,BantuBERTa Vector Neighborhood
kugyira,gyira,that (Inferred via BantuBERTa),gyira V;PRS;PROG;3;SG,BantuBERTa Vector Neighborhood
muhereze,kwohereza,send,hereza V;PST;REC;2;PL,Substring Overlap
bwomubazi,bazi,"medicine, remedy",umubazi N;SG;PSSB14,Substring Overlap
abiine,ina,four,biina V;PST;REC;3;SG,PanLex Exact Match
narya,rya,"eat, wire, (brass) wire",rya V;PST;REC;1;SG,PanLex Exact Match
eshohora,shohora,"go away, go out",shohora V;PRS,PanLex Exact Match
ahubakurira,kuri,"if, that over there",hubakurira V;PRS,Substring Overlap
ge,ge,cattle (Inferred via BantuBERTa),ge DET;POSS;PSS1P;BANTU7,BantuBERTa Vector Neighborhood
ayine,*nyinabonoomwe,mother of two,yina V;PST;REC;3;SG,Substring Overlap
naba,ba,"be, become, husband, pile up, stack",naba N;PL;BANTU9,PanLex Exact Match
rihango,erihango,"fat, large",rihango,Substring Overlap
okuhaburwa,habura,guide aright,haburwa V;NFIN,PanLex Exact Match
omubwire,bwa,dog,bwa V;PST;REC;2;SG,PanLex Exact Match
kwibika,kwibika,dip,ibika V;NFIN,PanLex Exact Match
nobworo,obwo,"then, when",nobworo N;SG;BANTU1,Substring Overlap
orikusingayo,singa,"overcome, vanquish, win",singayo V;PRS;PROG;2;SG,Substring Overlap
ryente,entaagurizi,dancer,enta V;PST;REC;3;SG,Substring Overlap
omushaho,omushaho,doctor,umushaho N;SG;BANTU1,PanLex Exact Match
arikukwita,kwita,"kill, spoil, cancel, waste, guess",kwita V;PRS;PROG;3;SG,PanLex Exact Match
akukukwata,kwata,"seize, coagulate, spill, pour, crack, reveal",kwata V;PRS;PROG;3;SG,PanLex Exact Match
Oburwire,obuburwa,lack,uburwa N;SG;BANTU14,Substring Overlap
nsha,*bonshatu,all three,nsha N;SG;BANTU9,Substring Overlap
naroga,roga,bewitch,roga V;PST;REC;1;SG,PanLex Exact Match
otungye,tunga,"get, obtain, keep livestock, current, stream",tunga V;PST;REC;2;SG,PanLex Exact Match
yamateka,teka,"boil, cook",teka V;PST;REC;3;SG,PanLex Exact Match
kuzara,zara,"give birth, give birth (to a child)",zara V;NFIN,PanLex Exact Match
enjara,enjara,"hunger, famine",enjara V;PRS,PanLex Exact Match
nekira,kira,tail,nekira V;PRS,Substring Overlap
kache,kache,fish (Inferred via BantuBERTa),kache,BantuBERTa Vector Neighborhood
Okukora,kora,do,kora V;NFIN,PanLex Exact Match
takabura,bura,get lost,bura V;PST;REM;1;PL,PanLex Exact Match
ahokubyama,kubyama,"lie down, go to bed",byama V;FUT,Substring Overlap
mibi,emibi,"bad, dirty, ugly",mibi N;PL;BANTU4,Substring Overlap
Okubuza,kuhabuza,ask the way,buza V;NFIN,Substring Overlap
engaaro,engaaro,"want, be going to (Inferred via BantuBERTa)",engaaro N;SG;BANTU10,BantuBERTa Vector Neighborhood
Omurogi,omurogi,"sorcerer, witch-doctor",umurogi N;SG;BANTU1,PanLex Exact Match
nibagivunana,givunana,mother (Inferred via BantuBERTa),givunana V;PRS;HAB;1;SG,BantuBERTa Vector Neighborhood
gumazire,gumaza,doctor (Inferred via BantuBERTa),gumaza V;PST;REC;3;SG,BantuBERTa Vector Neighborhood
omukayeye,kayeya,[Translation Missing],umukayeye N;SG;BANTU1,No Lexicon Match
aho,aho,"there, then",aho,PanLex Exact Match
we,we,"you, you (singular), one, self",we DET;POSS;PSS1P;BANTU1,PanLex Exact Match
omwana,omwana,"child, son, nephew, niece, young animal",omwana N;SG;BANTU1,PanLex Exact Match
Emihande,umhande,two (Inferred via BantuBERTa),umhande N;PL;BANTU1,BantuBERTa Vector Neighborhood
kwebwa,kwebwa,forget,ebwa V;PRS;HAB;3;SG,PanLex Exact Match
Omukono,omukono,"arm, hand",umukono N;SG;BANTU1,PanLex Exact Match
Tokayesiga,esiga,"lean on, rely on",Tokayesiga V;PST;REC;1;PL,Substring Overlap
abagubiire,gubia,"vapour, air (Inferred via BantuBERTa)",gubia V;PST;REC;3;PL,BantuBERTa Vector Neighborhood
Embwa,embwa,dog,embwa V;PRS,PanLex Exact Match
kumutayayira,muta,"how, how?",mutayayira V;NFIN,Substring Overlap
takarizibwa,rizibwa,"child, son, nephew, niece, young animal (Inferred via BantuBERTa)",rizibwa V;PST,BantuBERTa Vector Neighborhood
omukazi,omukazi,"woman, wife",umukazi N;SG;BANTU1,PanLex Exact Match
Abariho,muri,"you are, in there",umuriho,Substring Overlap
Omushuma,omushuma,"thief, greedy one",umushuma N;SG;BANTU1,PanLex Exact Match
byaba,byaba,"body, two (Inferred via BantuBERTa)",byaba,BantuBERTa Vector Neighborhood
timurungi,rungi,good,timurungi N;PL;BANTU10,Substring Overlap
Bayine,*nyinabonoomwe,mother of two,yina V;PST;REC;2;SG,Substring Overlap
Oyine,*nyinabonoomwe,mother of two,yina V;PST;REC;2;SG,Substring Overlap
amani,amani,"great, powerful, power, strength",amani N;PL;BANTU6,PanLex Exact Match
amate,amate,"milk, curdled milk",amate N;PL;BANTU6,PanLex Exact Match
Omuyembe,omuyembe,"mango, mango-tree",umuyembe N;SG;BANTU1,PanLex Exact Match
omwiguto,umwiguto,"at the back of, behind (Inferred via BantuBERTa)",umwiguto N;PL;BANTU1,BantuBERTa Vector Neighborhood
Okurinza,rinza,"do, work (Inferred via BantuBERTa)",rinza V;NFIN,BantuBERTa Vector Neighborhood
kwakushisha,shisha,"destroy, spoil",shisha V;PST;REC;3;SG,PanLex Exact Match
enkojo,enkojo,scar,inkojo,PanLex Exact Match
namara,mara,"complete, do, finish, cease, arrowhead, head, spear head, head (of arrow)",mara V;PST;REC;1;SG,PanLex Exact Match
tashemereire,shemerea,your mother (Inferred via BantuBERTa),shemereira V;PST;REC;1;PL,BantuBERTa Vector Neighborhood
tibukakuzibira,zibira,obstruct,zibira V;PRS;PROG;1;PL,PanLex Exact Match
emichwe,umchwe,that (Inferred via BantuBERTa),umchwe N;PL;BANTU1,BantuBERTa Vector Neighborhood
nanyina,nyina,mother,nyina V;PST;REC;1;SG,PanLex Exact Match
Akukwanga,anga,"refuse, reject, detest, hate",kwanga V;NFIN,Substring Overlap
wenka,wenka,"herself, only, alone- yourself himself",enka V;PRS,PanLex Exact Match
muto,omuto,"young, youngster",muto N;SG;BANTU1,Substring Overlap
niwe,niwe,[Translation Missing],niwe DET;POSS;PSS1P;BANTU9,No Lexicon Match
Tura,batura,"pull up, root up",tura V;NFIN,Substring Overlap
bwingi,ingi,abundant,bwingi DET;POSS;PSS1P;BANTU14,PanLex Exact Match
takugarukyira,garukyira,"at the back of, behind (Inferred via BantuBERTa)",garukyira V;PRS;PROG;1;PL,BantuBERTa Vector Neighborhood
Ebisero,isero,"body, two (Inferred via BantuBERTa)",isero N;PL;BANTU2,BantuBERTa Vector Neighborhood
wemichwe,umchwe,"child, son, nephew, niece, young animal (Inferred via BantuBERTa)",umchwe N;PL;PSSB1,BantuBERTa Vector Neighborhood
Akenyanja,nyanja,lake,nyanja V;PRS;HAB;3;SG,PanLex Exact Match
kwombeka,ombeka,build,ombeka V;NFIN,PanLex Exact Match
ekyihango,hango,"fat, thick, great, large",uhango N;SG;BANTU15,Substring Overlap
obugiga,ubugiga,"lazy, weak (Inferred via BantuBERTa)",ubugiga N;SG;BANTU14,BantuBERTa Vector Neighborhood
kwonka,onka,"suck, suck (the breast)",onka V;PRS;HAB;3;SG,PanLex Exact Match
omuka,muka,wife of,muka V;PRS;HAB;2;SG,PanLex Exact Match
tigukachiriza,chiriza,"tobacco pipe, cooking pot, (earthen) cooking pot, pot, smoking pipe (Inferred via BantuBERTa)",tigukachiriza V;PST,BantuBERTa Vector Neighborhood
tikakahabura,habura,guide aright,tikakahabura V;PST,PanLex Exact Match
Abashuma,shuma,thief,shuma V;PRS;HAB;3;PL,PanLex Exact Match
oriimu,oriimu,[Translation Missing],oriimu N;SG;BANTU1,No Lexicon Match
ayamara,mara,"complete, do, finish, cease, arrowhead, head, spear head, head (of arrow)",mara V;PRS;HAB;3;SG,PanLex Exact Match
oruho,oruho,"haze, skin",oruho N;SG;BANTU11,PanLex Exact Match
reero,obuhereero,tickling in the throat,reero,Substring Overlap
Otakayoreka,oreka,"display, produce, put forth",yoreka V;FUT;3;SG,PanLex Exact Match
arikuguhemba,guhemba,fire (Inferred via BantuBERTa),guhemba V;PRS;PROG;3;SG,BantuBERTa Vector Neighborhood
nyoko,nyoko,your mother,nyoko,PanLex Exact Match
akafa,fa,die,fa V;PST;REM;3;SG,PanLex Exact Match
ekurebwa,ebwa,forget,rebwa V;NFIN,Substring Overlap
omuriro,omuriro,fire,umuriro N;SG;BANTU1,PanLex Exact Match
tayine,*nyinabonoomwe,mother of two,tayina V;PST;REC;1;PL,Substring Overlap
Rufu,rufu,death,Rufu N;SG;BANTU11,PanLex Exact Match
omumwanya,omwanya,"place, time, space, opportunity, room",umwanya N;SG;BANTU1,Substring Overlap
omushuma,omushuma,"thief, greedy one",umushuma N;SG;BANTU1,PanLex Exact Match
nikugaruka,garuka,return,garuka V;PRS;PROG;1;SG,PanLex Exact Match
owomuntu,umuntu,[Translation Missing],umuntu N;SG;BANTU1,No Lexicon Match
byomugasho,muga,cripple,umugasho N;SG;BANTU14,Substring Overlap
Ashabahebwa,ebwa,forget,shabahebwa V;PRS;HAB;3;SG,Substring Overlap
omundijo,umundijo,"home, at home (Inferred via BantuBERTa)",umundijo N;SG;BANTU1,BantuBERTa Vector Neighborhood
Enshobi,inshobi,mother (Inferred via BantuBERTa),inshobi N;SG;BANTU1,BantuBERTa Vector Neighborhood
hatariho,hata,"peel, shell",hatariho,Substring Overlap
webintu,webintu,[Translation Missing],webintu DET;POSS;PSS3P;BANTU1,No Lexicon Match
mugyenzi,omugyenzi,"friend, brother, pilgnrn",mugyenzi N;SG;BANTU1,Substring Overlap
kurahuka,rahuka,"here, at, on, to, about (Inferred via BantuBERTa)",rahuka V;NFIN,BantuBERTa Vector Neighborhood
bwondijo,ondi,"another, the other",bwondijo V;PRS;HAB;3;SG,Substring Overlap
nobugiga,bugiga,"overcome, vanquish, win, spin, rub sticks together (Inferred via BantuBERTa)",giga V;PRS;HAB;1;SG,BantuBERTa Vector Neighborhood
ngu,ngu,that,ngu DET;POSS;PSS1P;BANTU9,PanLex Exact Match
wobusingye,ubusingye,"judgment, criticism (Inferred via BantuBERTa)",ubusingye N;SG;BANTU1,BantuBERTa Vector Neighborhood
nti,nti,"cow, cattle (Inferred via BantuBERTa)",nti PRO;INT;INTENS,BantuBERTa Vector Neighborhood
Omuti,omuti,"tree, bar",umuti N;SG;BANTU1,PanLex Exact Match
Omunwa,omunwa,lip,umunwa N;SG;BANTU1,PanLex Exact Match
ebyizi,izi,water,byizi N;SG;BANTU14,PanLex Exact Match
kuba,aata okubashuka,"break, snap",ba V;NFIN,Substring Overlap
niguza,guza,sell,guza V;PRS,PanLex Exact Match
bahika,hika,"arrive, befit, suit",bahika V;PRS,PanLex Exact Match
omuyombi,yombi,both,umuyombi N;SG;BANTU1,Substring Overlap
ente,ente,"cow, cattle",ente PRO;INT;INTEN,PanLex Exact Match
ekyitinisa,tinisa,"honor, threaten",itinisa N;SG;BANTU15,PanLex Exact Match
omwitagyi,itagyi,[Translation Missing],umwitagyi N;SG;BANTU1,No Lexicon Match
oriho,oriho,"who is here, you are here",oriho,PanLex Exact Match
aha,aha,"here, at, on, to, about",aha V;PRS,PanLex Exact Match
ze,we,"you, you (singular), one, self",ze DET;POSS;PSS1P;BANTU8,PanLex Exact Match
amagufa,gufa,bone,gufa V;PRS;HAB;3;SG,PanLex Exact Match
enyima,nyima,"at the back of, behind",nyima V;PRS;HAB;3;SG,PanLex Exact Match
enkuru,kuru,"old, master, mature",inkuru N;SG;BANTU10,Substring Overlap
nakura,kura,"become great, get large, grow up, be fully grown, be fully developed",nakura N;PL;BANTU9,PanLex Exact Match
Okukuraganisa,raga,take leave of,raganisa V;NFIN,Substring Overlap
okweteyerire,rira,"cry, wail, sound",eteyerire V;PRS;HAB;2;SG,Substring Overlap
nabonabona,embona-bibi,"sufferer, one who has lost all relatives",bonabona V;PST;REC;1;SG,Substring Overlap
Kimuti,kwanjuka omutima,be mad,Kimuti N;SG;BANTU15,Substring Overlap
akaze,kazaare,thank you,kaza V;PST;REC;3;SG,Substring Overlap
Omuzeyi,umuzeyi,"child, son, nephew, niece, young animal (Inferred via BantuBERTa)",umuzeyi N;PL;BANTU1,BantuBERTa Vector Neighborhood
nakukyira,kyira,person (Inferred via BantuBERTa),kyira V;PST;REC;1;SG,BantuBERTa Vector Neighborhood
amaizi,izi,water,izi ADJ;BANTU6,PanLex Exact Match
nibamushuka,shuka,pour,mushuka V;PRS;HAB;1;SG,Substring Overlap
muntu,muntuwe,scarecrow,muntu N;SG;BANTU1,Substring Overlap
yatera,eterana,"be assembled, be gathered",tera V;FUT;3;SG,Substring Overlap
nigwe,nigwe,"fruit, seeds (Inferred via BantuBERTa)",nigwe N;PL;BANTU9,BantuBERTa Vector Neighborhood
nabasa,abasaasizi,the merciful,basa V;PRS;PROG;3;SG,Substring Overlap
nengaro,engaro,hand,nengaro N;SG;BANTU9,Substring Overlap
Abafu,umufu,[Translation Missing],umufu N;PL;BANTU2,No Lexicon Match
Ekyibakugurize,ehinguriza,surround,ibakuguriza V;PRS;HAB;3;SG,Substring Overlap
akyirimu,kyirimu,[Translation Missing],kyirimu V;PRS;HAB;3;SG,No Lexicon Match
Ente,ente,"cow, cattle",ente PRO;INT;INTEN,PanLex Exact Match
tekwizira,kwizira,"come for, come, to, come upon",tekwizira V;PRS,Substring Overlap
omumazi,umumazi,"here, at, on, to, about (Inferred via BantuBERTa)",umumazi N;SG;BANTU1,BantuBERTa Vector Neighborhood
nigutegwa,gutegwa,Murundi (Inferred via BantuBERTa),gutegwa V;PRS,BantuBERTa Vector Neighborhood
ninka,ninka,"haze, skin (Inferred via BantuBERTa)",ninka V;PRS,BantuBERTa Vector Neighborhood
ahakuza,za,[Translation Missing],hakuza V;PRS;HAB;3;SG,No Lexicon Match
wabanoyenda,amagyenda,outward joumey,yenda V;PST;REC;2;SG,Substring Overlap
Owokurya,ukurya,[Translation Missing],ukurya N;SG;BANTU1,No Lexicon Match
nomugabe,muga,cripple,umugabe N;SG;BANTU1,Substring Overlap
Otakayehutzya,yehutzya,[Translation Missing],yehutzya V;FUT;3;SG,No Lexicon Match
ishe,ishe,father,ishe,PanLex Exact Match
Owamani,umani,"who is here, you are here (Inferred via BantuBERTa)",uwamani N;PL;BANTU1,BantuBERTa Vector Neighborhood
akabi,bi,bad,bi ADJ;BANTU6,PanLex Exact Match
kumurinda,muri,"you are, in there",murinda V;NFIN,Substring Overlap
nezara,zara,"give birth, give birth (to a child)",nezara N;SG;BANTU9,PanLex Exact Match
wayeyerera,enyorekyerera,"index, contents",yerera V;PST;PRF;2;SG,Substring Overlap
