Surface Word,Gikuyu Lemma,English translation,Glossing,Match Type
Mbaaraya,raya,[Translation Missing],uMbaaraya N;PL;BANTU2,No Lexicon Match
utugire,tuga,[Translation Missing],tuga V;PST;REC;2;SG,No Lexicon Match
mwaki,mwaki,fire,mwaki N;SG;BANTU1,PanLex Exact Match
kaana,kaana,[Translation Missing],Kaana N;SG;BANTU15,No Lexicon Match
ngu,ngu,"firewood, below, under, underneath, clothes, material",ngu DET;POSS;PSS1P;BANTU9,PanLex Exact Match
magiceera,giceera,[Translation Missing],giceera V;PST;REC;2;PL,No Lexicon Match
gigiciara,ciara,bear child,gigiciara V;PRS,Substring Overlap
iranga,iran,"Iran, country in the Middle East, Eshtehardi, Kurd, Lavasan, Persia, Shirgah",iranga,Substring Overlap
wira,wira,"work, work, labour, employment, occupation, job, business, employment, job, occupation, tool bit",wira DET;POSS;PSS1P;BANTU1,PanLex Exact Match
mugui,mugui,[Translation Missing],uMugui N;SG;BANTU1,No Lexicon Match
mugumo,mugumo,[Translation Missing],mugumo N;SG;BANTU1,No Lexicon Match
mwega,ega,[Translation Missing],ega V;PRS,No Lexicon Match
gukaana,gukaana,[Translation Missing],gukaana V;PRS,No Lexicon Match
gikwa,gikwa,[Translation Missing],gikwa N;SG;BANTU10,No Lexicon Match
ndathekaga,theka,laugh,thekaga V;PST;REC;1;SG,Substring Overlap
kurita,mambarita,thatched roof,rita V;PRS;PROG;3;SG,Substring Overlap
Gwakia,gwakia,[Translation Missing],Gwakia V;PRS,No Lexicon Match
wiki,wiki,[Translation Missing],wiki DET;POSS;PSS1P;BANTU1,No Lexicon Match
rutere,tera,[Translation Missing],rutera,No Lexicon Match
Itunyagwo,itunyagwo,[Translation Missing],itunyagwo N;SG;BANTU10,No Lexicon Match
unaga,ga,cook,unaga N;SG;BANTU1,PanLex Exact Match
getainwo,getainwo,[Translation Missing],getainwo V;PRS;HAB;3;SG,No Lexicon Match
ugikunja,kunja,forge,ugikunja N;SG;BANTU1,Substring Overlap
rihiu,rihiu,[Translation Missing],rihiu DET;POSS;PSS1P;BANTU5,No Lexicon Match
gatiunagwo,gatiunagwo,[Translation Missing],gatiunagwo N;SG;BANTU1,No Lexicon Match
gitikagio,gitikagio,[Translation Missing],gitikagio N;SG;BANTU10,No Lexicon Match
muthenya,thenya,"day, day-time",thenya V;PRS,PanLex Exact Match
muhitire,hita,"hunting, swear",hita V;PST;REC;2;PL,PanLex Exact Match
Kahiu,kahiu,knife,kahiu DET;POSS;PSS1P;BANTU15,PanLex Exact Match
haria,hari,"line, row",haria,Substring Overlap
Ireragira,reragira,[Translation Missing],ireragira,No Lexicon Match
gicegu,gicegu,[Translation Missing],gicegu N;SG;BANTU10,No Lexicon Match
Kiri,ega makiria,"excellent, fine",kiri DET;POSS;PSS1P;BANTU1,Substring Overlap
ourugagwo,ruga,"cook, stir",urugagwo N;SG;BANTU1,Substring Overlap
ritirutagirwo,iruta,learn,ritirutagirwo V;PRS;PROG;3;SG,Substring Overlap
kwa,kwa,[Translation Missing],Kwa DET;POSS;PSS1P;BANTU15,No Lexicon Match
ndamwagaga,mwagaga,[Translation Missing],mwagaga V;PST,No Lexicon Match
Gitindo,gitindo,[Translation Missing],Gitindo N;SG;BANTU10,No Lexicon Match
na,na,sing,na COP;IDENT,PanLex Exact Match
wa,wa,[Translation Missing],wa DET;POSS;PSS1P;BANTU1,No Lexicon Match
uthuire,thua,termite,thua V;PST;REC;2;SG,PanLex Exact Match
kumathaga,thaga,[Translation Missing],thaga V;PRS;NEG;3;SG,No Lexicon Match
ndumagirio,duma,darkness,ndumagirio N;PL;BANTU10,Substring Overlap
kugunirwo,nuguna,"grumble, grunt",guna V;NFIN,Substring Overlap
Ciigwatagirira,agirira,"befit, suit",Ciigwatagirira V;PRS;HAB;3;SG,Substring Overlap
Mubatari,bata,duck,uMubatari N;SG;BANTU1,Substring Overlap
rutunge,tunga,meet,rutunga V;PST;REC;3;SG,PanLex Exact Match
kihithaga,hitha,"light in weight, hide",hithaga V;NFIN,Substring Overlap
kwigeria,nigeria,"Nigeria, in Western Africa, Kanuri",igeria N;SG;BANTU15,Substring Overlap
gwateirwo,gwateirwo,[Translation Missing],gwateirwo V;PST;REC;3;SG,No Lexicon Match
itina,itina,buttock,itina N;SG;BANTU9,PanLex Exact Match
kwaga,waga,[Translation Missing],aga V;PRS;HAB;3;SG,No Lexicon Match
urume,gombo ya mundurume,male slave,urume N;SG;BANTU1,Substring Overlap
Ciathanaga,thanaga,[Translation Missing],thanaga V;PST;REC;3;SG,No Lexicon Match
ho,ho,[Translation Missing],ho DET;PROX;BANTU1,No Lexicon Match
rimwe,imwe,one,rimwe,Substring Overlap
gikuu,gikuu,death,Gikuu N;SG;BANTU14,PanLex Exact Match
yene,yene,[Translation Missing],yene DET;POSS;PSS1P;BANTU9,No Lexicon Match
Ciunagwo,ciunagwo,[Translation Missing],Ciunagwo N;SG;BANTU10,No Lexicon Match
kirugitwo,kirugitwo,[Translation Missing],kirugitwo N;SG;BANTU15,No Lexicon Match
Mugui,umugui,[Translation Missing],uMugui N;SG;BANTU1,No Lexicon Match
njamba,njamba,male,njamba N;SG;BANTU10,PanLex Exact Match
Muhaki,haki,[Translation Missing],haki V;PRS;HAB;3;SG,No Lexicon Match
matuku,tuku,night,uMatuku N;PL;BANTU2,PanLex Exact Match
ndubatabataga,bata,duck,ndubatabataga N;PL;BANTU10,Substring Overlap
Mbui,mbui,white hair,mbui N;SG;BANTU1,PanLex Exact Match
guteaga,teaga,[Translation Missing],guteaga V;PRS,No Lexicon Match
igiritagia,giri,"two, warthog, enclosure, fence",igiritagia N;SG;BANTU9,Substring Overlap
Muhiki,hiki,marriage,hiki V;PRS;HAB;3;SG,PanLex Exact Match
oine,ine,[Translation Missing],ine DET;POSS;PSS1S;BANTU1,No Lexicon Match
ngamini,ngamini,[Translation Missing],ngamini N;SG;BANTU10,No Lexicon Match
Kiura,ura,"get lost, frog, leak, ooze out",ura V;PRS;HAB;3;SG,PanLex Exact Match
magego,gego,tooth,magego N;PL;BANTU6,Substring Overlap
Komu,komu,[Translation Missing],Komu N;SG;BANTU15,No Lexicon Match
kuri,gukuria,"bring up, bring up (a child)",kuri DET;POSS;PSS1P;BANTU1,Substring Overlap
guticokaga,coka,"return, go back",guticokaga V;PRS,Substring Overlap
rukuini,rukuini,[Translation Missing],rukuini N;SG;BANTU11,No Lexicon Match
wourugana,gana,hundred,urugana N;SG;BANTU1,Substring Overlap
ndaigaga,igaga,[Translation Missing],igaga V;NFIN,No Lexicon Match
kuigana,igana,hundred,igana V;NFIN,PanLex Exact Match
Gutungata,tunga,meet,Gutungata V;PRS;HAB;3;SG,Substring Overlap
gutirika,rika,mourning,Gutirika V;PRS,Substring Overlap
thiaka,thia,"point, tip, highest point, utmost, keep livestock",thiaka,PanLex Exact Match
Murugiri,giri,"two, warthog, enclosure, fence",uMurugiri N;SG;BANTU1,Substring Overlap
gutu,gutuika,"be, become",gutu DET;POSS;PSS1P;BANTU1,Substring Overlap
guthurana,hura,"wash, wash (clothes), rub, beat",guthurana V;PRS,Substring Overlap
hande,handa,"plant, sow",hande,PanLex Exact Match
iniuru,iniuru,[Translation Missing],iniuru N;PL;BANTU9,No Lexicon Match
ukomeire,koma,[Translation Missing],koma V;PST;PRF;2;SG,No Lexicon Match
murugirwo,muru,mosquito,murugirwo N;SG;BANTU1,Substring Overlap
kieha,kieha,"grief, sorrow",eha V;PRS,PanLex Exact Match
Muikari,umuikari,[Translation Missing],uMuikari N;SG;BANTU1,No Lexicon Match
kura,kura,be fully grown,kura V;NFIN,PanLex Exact Match
athii,ingira thiini,penetrate,thii V;PRS;HAB;3;SG,Substring Overlap
Guteithagio,thagi,buttermilk,Guteithagio N;SG;BANTU14,Substring Overlap
ukiaga,aga,[Translation Missing],aga V;PRS;HAB;2;SG,No Lexicon Match
ndarugagirwo,ruga,"cook, stir",rugagirwo V;PST;REC;1;SG,Substring Overlap
Muhehwo,hehwo,[Translation Missing],uMuhehwo N;SG;BANTU1,No Lexicon Match
niguo,niguo,[Translation Missing],niguo N;SG;BANTU9,No Lexicon Match
Kirimu,kirimu,[Translation Missing],kirimu N;SG;BANTU15,No Lexicon Match
ukia,camukia,"cook, cook (in water or fat)",ukia N;SG;BANTU1,Substring Overlap
Mburungo,umburungo,[Translation Missing],uMburungo N;SG;BANTU1,No Lexicon Match
nguyu,kiunguyu,fish,nguyu DET;POSS;PSS1P;BANTU9,Substring Overlap
Hungu,hungu,kite,hungu,PanLex Exact Match
Agikuyu,kuyu,fig mulberry tree,agikuyu N;SG;BANTU1,PanLex Exact Match
keminagira,minagira,[Translation Missing],minagira V;PRS,No Lexicon Match
yugaga,gagatu,bitter,gaga V;PRS,Substring Overlap
thakame,haka,"polish, boundary",thakama V;PST,Substring Overlap
miguongo,guongo,"trunk, trunk (of elephant), horn, ivory, elephant’s tusk",miguongo N;PL;BANTU4,Substring Overlap
magithii,githii,[Translation Missing],githii V;PST;REC;2;PL,No Lexicon Match
maitho,maitho,"eye, organ, mince pie",uMaitho,PanLex Exact Match
ita,ita,"call, pour away, pour, hip",ita V;PRS,PanLex Exact Match
ndagaga,agaga,[Translation Missing],ndagaga N;SG;BANTU9,No Lexicon Match
ciake,wake,[Translation Missing],ciake,No Lexicon Match
ndebe,ndebe,[Translation Missing],ndebe N;SG;BANTU9,No Lexicon Match
muragwo,mura,wring,muragwo N;SG;BANTU1,Substring Overlap
hiu,hiu,"knife, scythe, sickle",hiu DET;POSS;PSS1P;BANTU1,PanLex Exact Match
njuguma,njuguma,[Translation Missing],njuguma N;SG;BANTU10,No Lexicon Match
nduguini,ndugua,[Translation Missing],ndugua V;PRS;HAB;1;SG,No Lexicon Match
indo,indonesia,"Indonesia, country, Achinese, Borobudur, Buginese, Cia-Cia, Lombok, Medan, Rejang, Sasak, kujang, 𐐆𐑌𐐼𐐲𐑌𐐨𐑈𐐲",indo N;SG;BANTU10,Substring Overlap
Kuhuuta,huuta,[Translation Missing],huuta V;NFIN,No Lexicon Match
irimu,irimu,[Translation Missing],irimu N;SG;BANTU10,No Lexicon Match
kuhia,hia,[Translation Missing],hia V;NFIN,No Lexicon Match
Maai,umaai,[Translation Missing],maai N;PL;BANTU6,No Lexicon Match
awa,wa,[Translation Missing],wa V;PRS;HAB;3;SG,No Lexicon Match
akuhia,hia,[Translation Missing],hia V;PRS;PROG;3;SG,No Lexicon Match
gucaya,gucaya,[Translation Missing],gucaya V;PRS,No Lexicon Match
Gitiganiriro,riro,"cry, sound",Gitiganiriro V;PRS;HAB;3;SG,Substring Overlap
nduoyagwo,oyagwo,[Translation Missing],nduoyagwo N;SG;BANTU10,No Lexicon Match
eri,eri,moon,eri PRO;INT;INT,PanLex Exact Match
ndatuuraga,uraga,"kill, break, snap",tuuraga V;PST,Substring Overlap
murume,murume,husband,murume N;SG;BANTU1,PanLex Exact Match
mucangacangi,cangacangi,[Translation Missing],mucangacangi N;SG;BANTU1,No Lexicon Match
kuona,ona,[Translation Missing],ona V;PRS;HAB;3;SG,No Lexicon Match
agikuua,ua,"peel, shell, carry, carry (astride on the hip)",ua V;PRS;HAB;3;SG,PanLex Exact Match
iticokaga,coka,"return, go back",iticokaga,Substring Overlap
Kironda,njorondani,"Jordan, 𐐖𐐱𐑉𐐼𐐲𐑌",kironda N;SG;BANTU15,Substring Overlap
munyuko,munyu,salt,munyuko N;SG;BANTU1,Substring Overlap
itioragirwo,itioragirwo,[Translation Missing],itioragirwo,No Lexicon Match
koragia,ragia,[Translation Missing],koragia V;NFIN,No Lexicon Match
ariaga,aga,[Translation Missing],ariaga V;PRS,No Lexicon Match
Mugi,ugi,[Translation Missing],mugi N;SG;BANTU1,No Lexicon Match
matinaga,tina,buttock,tinaga V;PST;REC;2;PL,Substring Overlap
kiriagwo,iria,"that, milk, breast, lake",kiriagwo N;SG;BANTU15,Substring Overlap
ihatha,hatha,twin,hatha V;PRS,PanLex Exact Match
noko,noko,[Translation Missing],noko,No Lexicon Match
Ita,ita,"call, pour away, pour, hip",ita V;PRS,PanLex Exact Match
nene,nene,"great, powerful, chief, large, master",nene PRO;INT;INTENS,PanLex Exact Match
riuaini,riua,[Translation Missing],riuaini N;SG;BANTU10,No Lexicon Match
Muigua,gua,"fall, hear",uMuigua N;SG;BANTU1,PanLex Exact Match
Mugiti,umugiti,[Translation Missing],uMugiti N;SG;BANTU1,No Lexicon Match
njira,njira,highway,njira N;SG;BANTU9,PanLex Exact Match
Mugunda,gunda,"plot of ground, garden, earth, land, cultivated ground",gunda V;PRS;HAB;3;SG,PanLex Exact Match
wacu,wacu,[Translation Missing],wacu DET;POSS;PSS1P;BANTU1,No Lexicon Match
Ithare,thara,[Translation Missing],thara V;PST;REC;3;SG,No Lexicon Match
ageraga,gera,"iron, iron ore, machine, spring",geraga V;PST,Substring Overlap
mwatu,mwatu,[Translation Missing],mwatu N;SG;BANTU1,No Lexicon Match
aingi,hingira,close,ingi PRO;INT;INT,Substring Overlap
mugambo,mugambo,voice,mugambo N;SG;BANTU1,PanLex Exact Match
Handu,handu,[Translation Missing],Handu N;SG;BANTU1,No Lexicon Match
mbugi,mbugi,[Translation Missing],uMbugi N;SG;BANTU1,No Lexicon Match
kuma,kuma,[Translation Missing],ma V;PRS;HAB;3;SG,No Lexicon Match
irihagwo,riha,pay,irihagwo N;PL;BANTU9,Substring Overlap
gukua,guku,"fowl, hen, hump, hump (of hunchback)",gukua V;PRS,Substring Overlap
nda,nda,"belly, stomach",nda V;PRS,PanLex Exact Match
kero,kero,[Translation Missing],kero,No Lexicon Match
Ehera,ehera,[Translation Missing],Ehera,No Lexicon Match
Gieterero,gieterero,[Translation Missing],Gieterero N;SG;BANTU10,No Lexicon Match
gitigwatagwo,igwa,thorn,gitigwatagwo N;SG;BANTU10,Substring Overlap
icura,cura,become burnt,cura V;PRS,PanLex Exact Match
ndurokaga,rokaga,[Translation Missing],ndurokaga N;SG;BANTU10,No Lexicon Match
uthuini,humbu kia muthua,ant-hill,uthua V;PRS;HAB;2;SG,Substring Overlap
niwiriagira,kuhagira nyungu,"put on the fire, put (a pot) on the fire",niwiriagira V;PRS,Substring Overlap
kiayo,wayo,[Translation Missing],kiayo,No Lexicon Match
nduinagwo,gwo,[Translation Missing],nduinagwo N;SG;BANTU10,No Lexicon Match
otaga,gatagati,"inside, in the middle of",taga V;PRS;HAB;2;SG,Substring Overlap
kunwithia,thia,"point, tip, highest point, utmost, keep livestock",nwithia V;NFIN,Substring Overlap
ya,ya,steal,ya DET;POSS;PSS1P;BANTU9,PanLex Exact Match
ugwati,ugwati,[Translation Missing],ugwati N;SG;BANTU1,No Lexicon Match
Gatuma,tuma,"send, sew, woman",Gatuma V;PRS,Substring Overlap
kugurana,gura,buy,gurana V;NFIN,PanLex Exact Match
Mundu,mundu,"person, person, individual, capita",mundu N;SG;BANTU1,PanLex Exact Match
karugi,karugi,[Translation Missing],karugi N;SG;BANTU15,No Lexicon Match
ndioragia,ragia,[Translation Missing],ragia V;PRS;HAB;1;SG,No Lexicon Match
Kuona,ona,[Translation Missing],ona V;PRS;HAB;3;SG,No Lexicon Match
koragithirie,iria,"that, milk, breast, lake",ragithiria V;PRS;NEG;3;SG,Substring Overlap
Hiti,hiti,"hunter, (professional) hunter",hiti DET;POSS;PSS1P;BANTU1,PanLex Exact Match
mbere,mbere ya,in front of,uMbere,Substring Overlap
Gatami,gatami,[Translation Missing],Gatami N;SG;BANTU1,No Lexicon Match
gitigunaga,gitigunaga,[Translation Missing],gitigunaga V;PRS,No Lexicon Match
Muheo,heo,[Translation Missing],uMuheo N;SG;BANTU1,No Lexicon Match
Kuruga,ruga,"cook, stir",ruga V;NFIN,PanLex Exact Match
kiugaga,ugaga,[Translation Missing],ugaga V;PRS,No Lexicon Match
gatuhaga,gatuhaga,[Translation Missing],gatuhaga V;PST,No Lexicon Match
oio,oio,[Translation Missing],oio,No Lexicon Match
arumiirwo,rumi,"tomcat, (half-wild) tomcat",rumiirwo V;PRS;PROG;3;SG,Substring Overlap
Muici,muici,thief,muici N;SG;BANTU1,PanLex Exact Match
rwagatha,gatha,[Translation Missing],rwagatha V;PST;REC;3;SG,No Lexicon Match
akundukaga,nduka,"shop, establishment that sells goods, saleroom, salesroom, showroom",kundukaga V;PRS,Substring Overlap
Guthekererwo,guthekererwo,[Translation Missing],Guthekererwo V;PRS;HAB;3;SG,No Lexicon Match
ndatumagwo,tuma,"send, sew, woman",tumagwo V;PST;REC;1;SG,Substring Overlap
kinya,kinya,"calabash, tramp of feet, arrive",kinya N;SG;BANTU15,PanLex Exact Match
kiinaino,inaino,[Translation Missing],kiinaino N;SG;BANTU15,No Lexicon Match
Muingatwo,ingatwo,[Translation Missing],ingatwo N;SG;BANTU1,No Lexicon Match
ruo,ruo,[Translation Missing],ruo,No Lexicon Match
Mukwithia,thia,"point, tip, highest point, utmost, keep livestock",uMukwithia N;SG;BANTU1,Substring Overlap
Murimirwo,muri,root,uMurimirwo N;SG;BANTU1,Substring Overlap
njohi,njohi,"palm-wine, beer",njohi N;SG;BANTU10,PanLex Exact Match
hako,hako,[Translation Missing],hako,No Lexicon Match
thiri,thiri,[Translation Missing],thiri PRO;INT;INT,No Lexicon Match
matituuraga,titu,forest,tituuraga V;PST;REC;2;PL,Substring Overlap
mahiga,higa,stone,higa V;PST;REC;2;PL,PanLex Exact Match
gitete,teta,[Translation Missing],gitete,No Lexicon Match
kimbu,kimbu,[Translation Missing],kimbu,No Lexicon Match
muriha,muri,root,muriha N;SG;BANTU1,Substring Overlap
kindu,kindu,thing,Kindu N;SG;BANTU15,PanLex Exact Match
ihugo,ihugo,[Translation Missing],ihugo N;SG;BANTU9,No Lexicon Match
wega,ega,[Translation Missing],wega DET;POSS;PSS1P;BANTU1,No Lexicon Match
Hita,hita,"hunting, swear",hita V;PRS,PanLex Exact Match
me,me,dew,me DET;POSS;PSS1P;BANTU4,PanLex Exact Match
mbui,mbui,white hair,mbui N;SG;BANTU1,PanLex Exact Match
niwe,niwe,[Translation Missing],niwe DET;POSS;PSS1P;BANTU9,No Lexicon Match
inyue,nyua,[Translation Missing],nyua V;PST;REC;3;SG,No Lexicon Match
athamagia,thama,"island, migrate, move away",thamagia V;PRS,Substring Overlap
umwe,mwere wa ikumi na umwe,November,umwe DET;PROX;BANTU1,Substring Overlap
Kinya,nya,"four, calabash",nya V;PRS;HAB;3;SG,PanLex Exact Match
rikinyaga,kirinyaga,Mount Kenya,rikinyaga V;PRS;PROG;3;SG,Substring Overlap
murungu,muru,mosquito,murungu N;SG;BANTU1,Substring Overlap
ucokaga,coka,"return, go back",cokaga V;PRS,Substring Overlap
mayu,mayu,[Translation Missing],mayu DET;POSS;PSS1P;BANTU6,No Lexicon Match
ndageraga,gera,"iron, iron ore, machine, spring",geraga V;PST,Substring Overlap
ndacokaga,coka,"return, go back",cokaga V;PST;REC;1;SG,Substring Overlap
muigana,igana,hundred,igana N;SG;BANTU1,PanLex Exact Match
githinji,githinji,[Translation Missing],githinji N;SG;BANTU1,No Lexicon Match
gatingiyuragira,iyura,become full,gatingiyuragira V;PST,Substring Overlap
kiriti,kiriti,[Translation Missing],Kiriti N;SG;BANTU10,No Lexicon Match
uguo,muguongo,"trunk, trunk (of elephant), horn, ivory, elephant’s tusk",uguo N;SG;BANTU1,Substring Overlap
hunyu,hunyu,[Translation Missing],hunyu DET;POSS;PSS1P;BANTU1,No Lexicon Match
ingi,hingira,close,ingi PRO;INT;INT,Substring Overlap
uraragwo,uraragwo,[Translation Missing],uraragwo N;SG;BANTU1,No Lexicon Match
runyeni,runya,[Translation Missing],runya V;PRS;HAB;3;SG,No Lexicon Match
Guthama,thama,"island, migrate, move away",Guthama N;SG;BANTU14,Substring Overlap
Itheru,theru,[Translation Missing],theru ADJ;BANTU4,No Lexicon Match
mukinyire,kinya,"calabash, tramp of feet, arrive",kinya V;PST;REC;2;PL,PanLex Exact Match
Igai,igai,inheritance,igai N;SG;BANTU10,PanLex Exact Match
irima,irima,"hole, pit, nest",irima N;SG;BANTU10,PanLex Exact Match
ngagacoka,coka,"return, go back",gacoka V;PST;REC;1;SG,Substring Overlap
eriraga,kuuraga,"break, snap",eriraga N;PL;BANTU10,Substring Overlap
gitiri,gitiri,[Translation Missing],gitiri N;SG;BANTU1,No Lexicon Match
koi,koi,[Translation Missing],koi DET;PROX;BANTU15,No Lexicon Match
wigerere,ongerera,increase,gerera V;PST;REC;2;SG,Substring Overlap
miruki,miruki,[Translation Missing],miruki N;PL;BANTU4,No Lexicon Match
murimi,muri,root,uMurimi N;SG;BANTU1,Substring Overlap
gatiui,gatiui,[Translation Missing],gatiui N;SG;BANTU1,No Lexicon Match
mwathi,thi,"country, (our) country",mwathi N;PL;BANTU1,PanLex Exact Match
Kuriithia,riithia,"care for, look after",riithia V;PRS;PROG;3;SG,PanLex Exact Match
muhirigo,rigo,"burden, load",muhirigo N;SG;BANTU1,Substring Overlap
muimwo,muimwo,[Translation Missing],muimwo N;SG;BANTU1,No Lexicon Match
guciara,ciara,bear child,guciara,Substring Overlap
Murwithia,thia,"point, tip, highest point, utmost, keep livestock",uMurwithia N;SG;BANTU1,Substring Overlap
gucokaga,coka,"return, go back",gucokaga V;PRS,Substring Overlap
Kurua,rua,fight,rua V;NFIN,PanLex Exact Match
ndugu,ndugu,[Translation Missing],ndugu N;SG;BANTU9,No Lexicon Match
ituura,tuura,[Translation Missing],tuura V;PRS,No Lexicon Match
ndoinagwo,gwo,[Translation Missing],ndoinagwo N;SG;BANTU10,No Lexicon Match
kworire,ora,"rotten, become bad, become rotten, rot",kwora V;PST;REC;3;SG,PanLex Exact Match
Maciara,ciara,bear child,ciara V;PST;REC;3;SG,PanLex Exact Match
Kariki,kariki,[Translation Missing],Kariki,No Lexicon Match
Gwi,gwi,arrow,Gwi DET;POSS;PSS1P;BANTU1,PanLex Exact Match
ndutindagwo,tindagwo,[Translation Missing],tindagwo V;PRS;HAB;1;SG,No Lexicon Match
mucii,mucii,home,uMucii N;SG;BANTU1,PanLex Exact Match
Kiere,era,[Translation Missing],era V;PST;REC;3;SG,No Lexicon Match
yaringirira,giri,"two, warthog, enclosure, fence",ringirira V;PST;REC;3;SG,Substring Overlap
Ciana,botswana,"Botswana, 𐐒𐐪𐐻𐑅𐐶𐐪𐑌𐐲, mopane",Ciana N;SG;BANTU10,Substring Overlap
ciambaga,amba,"apply, spread over, apply (by stretching)",ciambaga N;SG;BANTU10,Substring Overlap
gatune,gatuna,[Translation Missing],gatuna V;PST;REC;3;SG,No Lexicon Match
kuonwo,ona,[Translation Missing],ona V;NFIN,No Lexicon Match
Muharwo,umuharwo,[Translation Missing],uMuharwo N;SG;BANTU1,No Lexicon Match
Mukagera,gera,"iron, iron ore, machine, spring",gera V;PRS;HAB;3;SG,PanLex Exact Match
murugurio,muru,mosquito,murugurio N;SG;BANTU1,Substring Overlap
ngee,ngee,[Translation Missing],ngee DET;POSS;PSS1S;BANTU9,No Lexicon Match
weru,mundu mweru,white man,weru DET;POSS;PSS1P;BANTU1,Substring Overlap
meka,meka,[Translation Missing],meka V;PRS,No Lexicon Match
kiria,ega makiria,"excellent, fine",kiria V;PRS,Substring Overlap
Hinya,inya,four,hinya V;PRS,Substring Overlap
muno,muno,[Translation Missing],muno N;SG;BANTU1,No Lexicon Match
gitihatagiririo,giri,"two, warthog, enclosure, fence",gitihatagiririo V;FUT,Substring Overlap
gukira,kira,"wear, be quiet, clothe, place, put",Gukira,Substring Overlap
akiiga,iga,"place, put, set",iga V;PRS;PROG;3;SG,PanLex Exact Match
noru,noru,[Translation Missing],noru N;SG;BANTU9,No Lexicon Match
Gatundu,undu,affair,Gatundu N;SG;BANTU1,Substring Overlap
kimenyaga,enya,shave,menyaga V;PRS;HAB;3;SG,Substring Overlap
mweru,mundu mweru,white man,mweru N;SG;BANTU1,Substring Overlap
karatha,ratha,[Translation Missing],Karatha N;SG;BANTU15,No Lexicon Match
ari,mwari wa nyine,"brother, sister, (her) brother, (his) sister",ari PRO;INT;INTENS,Substring Overlap
Muceera,ceera,[Translation Missing],ceera V;PRS,No Lexicon Match
muici,muici,thief,muici N;SG;BANTU1,PanLex Exact Match
gatukagia,gatukagia,[Translation Missing],gatukagia V;PST,No Lexicon Match
mungungutu,gungu,"hump, hump (of cow)",mungungutu N;SG;BANTU1,Substring Overlap
Mucingu,cingu,[Translation Missing],uMucingu N;SG;BANTU1,No Lexicon Match
matuguta,guta,"idleness, sloth, oil, oil (from plants)",tuguta V;PST;REC;2;PL,Substring Overlap
tha,tha,"leave, permission",tha V;PRS,PanLex Exact Match
gitindagia,tindagia,[Translation Missing],gitindagia V;PRS,No Lexicon Match
Murio,murio,"pleasant, sweet",murio N;SG;BANTU1,PanLex Exact Match
ndiiro,ndiiro,[Translation Missing],ndiiro N;SG;BANTU9,No Lexicon Match
Mumeni,umuma,[Translation Missing],muma N;SG;BANTU1,No Lexicon Match
