Surface Word,Ganda Lemma,English translation,Glossing,Match Type
kakila,kila,[Translation Missing],kakila,No Lexicon Match
mbegelaako,mbegelaako,[Translation Missing],mbegelaako,No Lexicon Match
Akanyonyi,nyonyi,[Translation Missing],akanyonyi,No Lexicon Match
kakozesa,kozesa,[Translation Missing],kakozesa,No Lexicon Match
byo,wo,[Translation Missing],byo,No Lexicon Match
oya,oya,[Translation Missing],oya,No Lexicon Match
birara,birara,[Translation Missing],bi-rara,No Lexicon Match
okuzimba,zimba,[Translation Missing],okuzimba,No Lexicon Match
ekisu,kisu,[Translation Missing],ekisu,No Lexicon Match
kyaako,waako,[Translation Missing],kyaako,No Lexicon Match
Akatono,tono,[Translation Missing],akatono,No Lexicon Match
kazila,zila,[Translation Missing],kazila,No Lexicon Match
liiso,liiso,[Translation Missing],liiso,No Lexicon Match
Akozesa,kozesa,[Translation Missing],kozesa,No Lexicon Match
emikono,umkono,[Translation Missing],emikono,No Lexicon Match
gyombi,gyombi,[Translation Missing],gyombi,No Lexicon Match
talemwa,lemwa,[Translation Missing],talemwa,No Lexicon Match
kulya,lya,[Translation Missing],lya,No Lexicon Match
Akussuka,ssuka,[Translation Missing],ssuka,No Lexicon Match
lyali,lyali,[Translation Missing],lyali,No Lexicon Match
nalyo,lyo,[Translation Missing],nalyo,No Lexicon Match
taba,taba,[Translation Missing],taba,No Lexicon Match
mutti,mutti,[Translation Missing],mutti,No Lexicon Match
Alaba,laba,[Translation Missing],laba,No Lexicon Match
ekilungi,kilungi,[Translation Missing],ekilungi,No Lexicon Match
akinyumya,nyumya,[Translation Missing],nyumya,No Lexicon Match
Amaka,amaka,[Translation Missing],amaka,No Lexicon Match
omutali,umutali,[Translation Missing],omutali,No Lexicon Match
muchaara,ara,[Translation Missing],mu-chaara,No Lexicon Match
galinga,galinga,[Translation Missing],galinga,No Lexicon Match
ekisibo,kisibo,[Translation Missing],ekisibo,No Lexicon Match
nte,nte,[Translation Missing],nte,No Lexicon Match
Akwaagala,agala,[Translation Missing],agala,No Lexicon Match
Akwaagula,gula,[Translation Missing],a-kwaagula,No Lexicon Match
no,no,[Translation Missing],no,No Lexicon Match
bujama,jama,[Translation Missing],bujama,No Lexicon Match
bwo,wo,[Translation Missing],bwo,No Lexicon Match
Akwata,kwata,[Translation Missing],akwata,No Lexicon Match
empoya,mpoya,[Translation Missing],empoya,No Lexicon Match
atuuka,tuuka,[Translation Missing],tuuka,No Lexicon Match
wala,wala,[Translation Missing],wala,No Lexicon Match
Nawolovu,wolovu,[Translation Missing],Na-wolovu,No Lexicon Match
yatuuka,tuuka,[Translation Missing],tuuka,No Lexicon Match
kibuga,buga,[Translation Missing],ki-buga,No Lexicon Match
amalungi,lungi,[Translation Missing],amalungi,No Lexicon Match
gakola,kola,[Translation Missing],ga-kola,No Lexicon Match
ekibanja,banja,[Translation Missing],eki-banja,No Lexicon Match
ekiningi,ningi,[Translation Missing],ekiningi,No Lexicon Match
Amatu,amatu,[Translation Missing],amatu,No Lexicon Match
agatawulira,gatawulira,[Translation Missing],agatawulira,No Lexicon Match
kubulirirwa,bulirira,[Translation Missing],bulirirwa,No Lexicon Match
gagendera,gagenda,[Translation Missing],ga-gendera,No Lexicon Match
wamu,wamu,[Translation Missing],wamu,No Lexicon Match
nomutwe,umutwe,[Translation Missing],nomutwe,No Lexicon Match
Amambuka,mbuka,[Translation Missing],amambuka,No Lexicon Match
si,si,[Translation Missing],si,No Lexicon Match
maserengeta,serengeta,[Translation Missing],ma-serengeta,No Lexicon Match
Amazzi,izzi,[Translation Missing],amazzi,No Lexicon Match
amasabe,saba,[Translation Missing],amasabe,No Lexicon Match
tegamala,tegamala,[Translation Missing],tegamala,No Lexicon Match
nyonta,nyonta,[Translation Missing],nyonta,No Lexicon Match
Atalimba,limba,[Translation Missing],limba,No Lexicon Match
takula,la,[Translation Missing],takula,No Lexicon Match
Atambula,tambula,[Translation Missing],tambula,No Lexicon Match
ekilo,kilo,[Translation Missing],ekilo,No Lexicon Match
Atanatambula,tambula,[Translation Missing],tambula,No Lexicon Match
yatenda,tenda,[Translation Missing],tenda,No Lexicon Match
nyina,nyina,[Translation Missing],nyina,No Lexicon Match
okufumba,fumba,[Translation Missing],okufumba,No Lexicon Match
Atya,tya,[Translation Missing],tya,No Lexicon Match
enjuba,njuba,[Translation Missing],enjuba,No Lexicon Match
taliba,ba,[Translation Missing],taliba,No Lexicon Match
gombolola,gombolola,[Translation Missing],gombolola,No Lexicon Match
Bassa,ssa,[Translation Missing],BANTU2,No Lexicon Match
kimu,kimu,[Translation Missing],kimu,No Lexicon Match
nkuyege,yege,[Translation Missing],nkuyege,No Lexicon Match
Bazaala,zaala,[Translation Missing],BANTU2,No Lexicon Match
mubiri,mubiri,[Translation Missing],mubiri,No Lexicon Match
tebazaala,zaala,[Translation Missing],tebazaala,No Lexicon Match
mpisa,mpisa,[Translation Missing],mpisa,No Lexicon Match
Bugubugu,BANTU14,[Translation Missing],BANTU14,No Lexicon Match
ssimuliro,ssimuliro,[Translation Missing],ssimuliro,No Lexicon Match
Bwoba,oba,[Translation Missing],oba,No Lexicon Match
tosobota,sobota,[Translation Missing],to-sobota,No Lexicon Match
kutunula,tunula,[Translation Missing],tunula,No Lexicon Match
mumaaso,mumaaso,[Translation Missing],mumaaso,No Lexicon Match
olibeera,beera,[Translation Missing],beera,No Lexicon Match
mabega,bega,[Translation Missing],ma-bega,No Lexicon Match
oli,oli,[Translation Missing],oli,No Lexicon Match
mulungi,mulungi,[Translation Missing],mulungi,No Lexicon Match
nelwolifa,fa,[Translation Missing],nelwolifa,No Lexicon Match
entaanayo,entaanayo,[Translation Missing],entaanayo,No Lexicon Match
elyagalwa,agalwa,[Translation Missing],agalwa,No Lexicon Match
onywanye,nywana,[Translation Missing],nywana,No Lexicon Match
mukulu,mukulu,[Translation Missing],mukulu,No Lexicon Match
oba,oba,[Translation Missing],oba,No Lexicon Match
otuliidde,tuliira,[Translation Missing],tuliira,No Lexicon Match
muguwa,guwa,[Translation Missing],muguwa,No Lexicon Match
Bwoyo,BANTU14,[Translation Missing],BANTU14,No Lexicon Match
kya,kya,[Translation Missing],kya,No Lexicon Match
enju,enju,[Translation Missing],enju,No Lexicon Match
oyinza,yinza,[Translation Missing],yinza,No Lexicon Match
okusazamu,sazamu,[Translation Missing],okusazamu,No Lexicon Match
omukka,kka,[Translation Missing],omukka,No Lexicon Match
Bwosalawo,BANTU14,[Translation Missing],BANTU14,No Lexicon Match
embwa,embwa,[Translation Missing],embwa,No Lexicon Match
lya,lya,[Translation Missing],lya,No Lexicon Match
ensava,nsava,[Translation Missing],ensava,No Lexicon Match
Bwosekerera,sekerera,[Translation Missing],bwosekerera,No Lexicon Match
ekibya,bya,[Translation Missing],eki-bya,No Lexicon Match
osekerera,sekerera,[Translation Missing],sekerera,No Lexicon Match
mubumbii,bumbii,[Translation Missing],mubumbii,No Lexicon Match
Ebbeere,ebbeere,[Translation Missing],ebbeere,No Lexicon Match
nyabo,nyabo,[Translation Missing],nyabo,No Lexicon Match
telifuna,funa,[Translation Missing],teli-funa,No Lexicon Match
Bigenge,genga,[Translation Missing],genga,No Lexicon Match
Ecika,cika,[Translation Missing],ecika,No Lexicon Match
ekikolimire,kolima,[Translation Missing],ekikolimire,No Lexicon Match
mwemuva,imuva,[Translation Missing],mwemuva,No Lexicon Match
abakazi,umkazi,[Translation Missing],abakazi,No Lexicon Match
abalwaana,lwaana,[Translation Missing],abalwaana,No Lexicon Match
na,na,[Translation Missing],na,No Lexicon Match
mafumu,mafumu,[Translation Missing],mafumu,No Lexicon Match
Ekilabo,ulabo,[Translation Missing],ekilabo,No Lexicon Match
ekitono,ekitono,[Translation Missing],eki-tono,No Lexicon Match
koowa,koowa,[Translation Missing],koowa,No Lexicon Match
munno,munno,[Translation Missing],munno,No Lexicon Match
Ekiri,ekiri,[Translation Missing],ekiri,No Lexicon Match
muttu,muttu,[Translation Missing],muttu,No Lexicon Match
kimanywa,nywa,[Translation Missing],kimanywa,No Lexicon Match
nyini,nyini,[Translation Missing],nyini,No Lexicon Match
kyo,wo,[Translation Missing],kyo,No Lexicon Match
Ekyengela,engela,[Translation Missing],engela,No Lexicon Match
amangu,amangu,[Translation Missing],amangu,No Lexicon Match
kivunda,vunda,[Translation Missing],ki-vunda,No Lexicon Match
mangu,mangu,[Translation Missing],mangu,No Lexicon Match
Embwa,embwa,[Translation Missing],embwa,No Lexicon Match
elina,lina,[Translation Missing],elina,No Lexicon Match
eggumba,ggumba,[Translation Missing],ggumba,No Lexicon Match
kamwa,kamwa,[Translation Missing],kamwa,No Lexicon Match
teluma,teluma,[Translation Missing],teluma,No Lexicon Match
Empungu,impungu,[Translation Missing],empungu,No Lexicon Match
telya,telya,[Translation Missing],telya,No Lexicon Match
bire,wa,[Translation Missing],bire,No Lexicon Match
Endiga,iga,[Translation Missing],endiga,No Lexicon Match
tekabiira,biira,[Translation Missing],teka-biira,No Lexicon Match
mwaana,mwaana,[Translation Missing],mwaana,No Lexicon Match
gwa,gwa,[Translation Missing],gwa,No Lexicon Match
mbuzi,mbuzi,[Translation Missing],mbuzi,No Lexicon Match
effudde,ffula,[Translation Missing],ffula,No Lexicon Match
Enjovu,injovu,[Translation Missing],enjovu,No Lexicon Match
ebbiri,ebbiri,[Translation Missing],ebbiri,No Lexicon Match
wezilwanira,isilwanira,[Translation Missing],wezilwanira,No Lexicon Match
essubi,ssubi,[Translation Missing],essubi,No Lexicon Match
lisesetera,sesetera,[Translation Missing],li-sesetera,No Lexicon Match
telemelerwa,telemelerwa,[Translation Missing],telemelerwa,No Lexicon Match
sanga,sanga,[Translation Missing],sanga,No Lexicon Match
lyaayo,lyaayo,[Translation Missing],lyaayo,No Lexicon Match
Enkima,enkima,[Translation Missing],enkima,No Lexicon Match
bwelemerelwa,bwelemerelwa,[Translation Missing],bwelemerelwa,No Lexicon Match
okutuukirira,tuukirira,[Translation Missing],tuukirira,No Lexicon Match
elyenvu,envu,[Translation Missing],envu,No Lexicon Match
nti,nti,[Translation Missing],nti,No Lexicon Match
ago,wago,[Translation Missing],ago,No Lexicon Match
tegengedde,tegengera,[Translation Missing],tegengera,No Lexicon Match
Enkuba,inkuba,[Translation Missing],enkuba,No Lexicon Match
tetonyera,tetonyera,[Translation Missing],tetonyera,No Lexicon Match
omu,omu,[Translation Missing],omu,No Lexicon Match
Engalo,ingalo,[Translation Missing],engalo,No Lexicon Match
ensa,ensa,[Translation Missing],ensa,No Lexicon Match
zigwanira,gwanira,[Translation Missing],zigwanira,No Lexicon Match
zo,wo,[Translation Missing],zo,No Lexicon Match
Enyana,enyana,[Translation Missing],enyana,No Lexicon Match
tesekerera,tesekerera,[Translation Missing],tesekerera,No Lexicon Match
nkunku,nkunku,[Translation Missing],nkunku,No Lexicon Match
Entalowooza,lowooza,[Translation Missing],entalowooza,No Lexicon Match
yamala,mala,[Translation Missing],yamala,No Lexicon Match
amazzi,izzi,[Translation Missing],amazzi,No Lexicon Match
mulwendo,mulwendo,[Translation Missing],mulwendo,No Lexicon Match
Ensuwa,ensuwa,[Translation Missing],ensuwa,No Lexicon Match
entono,entono,[Translation Missing],entono,No Lexicon Match
nazo,nazo,[Translation Missing],nazo,No Lexicon Match
zirina,zirina,[Translation Missing],zirina,No Lexicon Match
amatu,matu,[Translation Missing],amatu,No Lexicon Match
Essubi,ssubi,[Translation Missing],essubi,No Lexicon Match
elyokya,okya,[Translation Missing],ely-okya,No Lexicon Match
enyumba,nyumba,[Translation Missing],enyumba,No Lexicon Match
embii,embia,[Translation Missing],embii,No Lexicon Match
iyelyokya,lyokya,[Translation Missing],lyokya,No Lexicon Match
ne,ne,[Translation Missing],ne,No Lexicon Match
nungi,nungi,[Translation Missing],nungi,No Lexicon Match
Eyali,wali,[Translation Missing],eyali,No Lexicon Match
alumidwa,lumidwa,[Translation Missing],lumidwa,No Lexicon Match
omusota,umusota,[Translation Missing],omusota,No Lexicon Match
bwalaba,laba,[Translation Missing],laba,No Lexicon Match
omunya,munya,[Translation Missing],omunya,No Lexicon Match
agudduka,gudduka,[Translation Missing],gudduka,No Lexicon Match
Eyettikka,ettikka,[Translation Missing],ettikka,No Lexicon Match
obuvunanyizibwa,ubuvunanyizibwa,[Translation Missing],obuvunanyizibwa,No Lexicon Match
era,era,[Translation Missing],era,No Lexicon Match
afuna,funa,[Translation Missing],funa,No Lexicon Match
okunenye,nenya,[Translation Missing],nenya,No Lexicon Match
zebwa,ebwa,[Translation Missing],zebwa,No Lexicon Match
Ezenkanankana,inkanankana,[Translation Missing],inkanankana,No Lexicon Match
bisiki,bisiki,[Translation Missing],bisiki,No Lexicon Match
tezaaka,tezaaka,[Translation Missing],tezaaka,No Lexicon Match
Kamu,kamu,[Translation Missing],kamu,No Lexicon Match
kamu,kamu,[Translation Missing],kamu,No Lexicon Match
gwe,gwe,[Translation Missing],gwe,No Lexicon Match
muganda,ganda,[Translation Missing],mu-ganda,No Lexicon Match
Kakulu,kulu,[Translation Missing],kakulu,No Lexicon Match
ta,ta,[Translation Missing],ta,No Lexicon Match
kulilwa,lila,[Translation Missing],lilwa,No Lexicon Match
Kyenkola,enkola,[Translation Missing],enkola,No Lexicon Match
banange,nanga,[Translation Missing],nange,No Lexicon Match
sagala,sagala,[Translation Missing],sagala,No Lexicon Match
bakinkole,kinkola,[Translation Missing],ba-kinkole,No Lexicon Match
Lubaale,baala,[Translation Missing],Lubaale,No Lexicon Match
mbeera,mbeera,[Translation Missing],mbeera,No Lexicon Match
mbiro,mbiro,[Translation Missing],mbiro,No Lexicon Match
kwotadde,ota,[Translation Missing],kwotadde,No Lexicon Match
Mama,mama,[Translation Missing],mama,No Lexicon Match
yasinga,singa,[Translation Missing],singa,No Lexicon Match
okuweeka,weeka,[Translation Missing],oku-weeka,No Lexicon Match
Mpola,uMpola,[Translation Missing],mpola,No Lexicon Match
mpola,mpola,[Translation Missing],mpola,No Lexicon Match
emugga,gga,[Translation Missing],emugga,No Lexicon Match
Mulungi,uMulungi,[Translation Missing],mulungi,No Lexicon Match
emabega,bega,[Translation Missing],ema-bega,No Lexicon Match
mubi,bi,[Translation Missing],mubi,No Lexicon Match
Omukazi,umukazi,[Translation Missing],umukazi,No Lexicon Match
omugumba,umugumba,[Translation Missing],omugumba,No Lexicon Match
ufuna,funa,[Translation Missing],u-funa,No Lexicon Match
nyo,nyo,[Translation Missing],nyo,No Lexicon Match
abagenyi,umgenyi,[Translation Missing],abagenyi,No Lexicon Match
Ne,ne,[Translation Missing],ne,No Lexicon Match
ssanja,ssanja,[Translation Missing],ssanja,No Lexicon Match
lyaaliko,lyaaliko,[Translation Missing],lyaaliko,No Lexicon Match
olulagala,lagala,[Translation Missing],lagala,No Lexicon Match
Nonuzinyi,zinyi,[Translation Missing],Nonuzinyi,No Lexicon Match
ennyo,ennyo,[Translation Missing],ennyo,No Lexicon Match
alekulira,lira,[Translation Missing],lira,No Lexicon Match
ekidaala,daala,[Translation Missing],eki-daala,No Lexicon Match
Obulamu,ubulamu,[Translation Missing],ubulamu,No Lexicon Match
bulinga,linga,[Translation Missing],bulinga,No Lexicon Match
kisikiriize,sikiriiza,[Translation Missing],ki-sikiriiza,No Lexicon Match
ria,ria,[Translation Missing],ria,No Lexicon Match
mukka,mukka,[Translation Missing],mukka,No Lexicon Match
buyita,yita,[Translation Missing],buyita,No Lexicon Match
ate,te,[Translation Missing],ate,No Lexicon Match
tebudda,tebudda,[Translation Missing],tebudda,No Lexicon Match
masanda,sanda,[Translation Missing],ma-sanda,No Lexicon Match
bwoseleera,oseleera,[Translation Missing],bwoseleera,No Lexicon Match
ogenda,genda,[Translation Missing],ogenda,No Lexicon Match
Okugezaako,gezaako,[Translation Missing],ukugezaako,No Lexicon Match
okugwa,gwa,[Translation Missing],okugwa,No Lexicon Match
bunafu,bunafu,[Translation Missing],bunafu,No Lexicon Match
Omwana,umwana,[Translation Missing],omwana,No Lexicon Match
omubi,umubi,[Translation Missing],omubi,No Lexicon Match
takaddiwa,ddiwa,[Translation Missing],ddiwa,No Lexicon Match
ewaka,waka,[Translation Missing],ewaka,No Lexicon Match
Wange,wange,[Translation Missing],wange,No Lexicon Match
ansingira,nsingira,[Translation Missing],a-nsingira,No Lexicon Match
omulungii,umulungii,[Translation Missing],omulungii,No Lexicon Match
owa,wa,[Translation Missing],owa,No Lexicon Match
mulilwana,lwaana,[Translation Missing],mulilwana,No Lexicon Match
Ofundako,fundako,[Translation Missing],ofundako,No Lexicon Match
okuwasa,wasa,[Translation Missing],okuwasa,No Lexicon Match
omukadde,kadde,[Translation Missing],omukadde,No Lexicon Match
okusinga,singa,[Translation Missing],oku-singa,No Lexicon Match
obuwuulu,ubuwuulu,[Translation Missing],obuwuulu,No Lexicon Match
Okwelinda,linda,[Translation Missing],ulinda,No Lexicon Match
ssi,ssi,[Translation Missing],ssi,No Lexicon Match
buti,buti,[Translation Missing],buti,No Lexicon Match
ensanafu,nsanafu,[Translation Missing],ensanafu,No Lexicon Match
etambula,tambula,[Translation Missing],etambula,No Lexicon Match
egaludde,galula,[Translation Missing],egalula,No Lexicon Match
Okudizza,diza,[Translation Missing],diza,No Lexicon Match
guba,guba,[Translation Missing],guba,No Lexicon Match
mwoyo,mwoyo,[Translation Missing],mwoyo,No Lexicon Match
Okufa,fa,[Translation Missing],ukufa,No Lexicon Match
nkovu,nkovu,[Translation Missing],nkovu,No Lexicon Match
etalisimuuka,simuuka,[Translation Missing],etalisimuuka,No Lexicon Match
Olinye,lina,[Translation Missing],olinya,No Lexicon Match
jegava,egava,[Translation Missing],jegava,No Lexicon Match
nonywa,nywa,[Translation Missing],nywa,No Lexicon Match
amatabangufu,tabangufu,[Translation Missing],amatabangufu,No Lexicon Match
Olubuto,ubuto,[Translation Missing],ubuto,No Lexicon Match
lwo,lwo,[Translation Missing],lwo,No Lexicon Match
bwoluwa,oluwa,[Translation Missing],bwoluwa,No Lexicon Match
emmere,mmere,[Translation Missing],emmere,No Lexicon Match
embi,embi,[Translation Missing],embi,No Lexicon Match
lujja,jja,[Translation Missing],lu-jja,No Lexicon Match
kukubira,bira,[Translation Missing],kubira,No Lexicon Match
engoma,ngoma,[Translation Missing],engoma,No Lexicon Match
ozine,zina,[Translation Missing],zine,No Lexicon Match
Oluliimi,umu,[Translation Missing],uliimi,No Lexicon Match
lwa,lwa,[Translation Missing],lwa,No Lexicon Match
mukabalo,balo,[Translation Missing],muka-balo,No Lexicon Match
lukaawa,kaawa,[Translation Missing],lukaawa,No Lexicon Match
Olunaku,ulunaku,[Translation Missing],olunaku,No Lexicon Match
olumu,olumu,[Translation Missing],olumu,No Lexicon Match
teluvunza,vunza,[Translation Missing],teluvunza,No Lexicon Match
nyama,nyama,[Translation Missing],nyama,No Lexicon Match
Omukulu,umukulu,[Translation Missing],umukulu,No Lexicon Match
watali,tali,[Translation Missing],watali,No Lexicon Match
ebikere,kera,[Translation Missing],ebikere,No Lexicon Match
bibunduka,bunduka,[Translation Missing],bi-bunduka,No Lexicon Match
Omwaana,umwaana,[Translation Missing],omwaana,No Lexicon Match
owegonjebwa,egonjebwa,[Translation Missing],owe-gonjebwa,No Lexicon Match
aweesa,weesa,[Translation Missing],weesa,No Lexicon Match
ekitiibwa,tiibwa,[Translation Missing],ekitiibwa,No Lexicon Match
Omutamiivu,umutamiivu,[Translation Missing],umutamiivu,No Lexicon Match
tawaba,waba,[Translation Missing],tawaba,No Lexicon Match
Omuze,muza,[Translation Missing],omuze,No Lexicon Match
gwo,wo,[Translation Missing],gwo,No Lexicon Match
muntu,muntu,[Translation Missing],muntu,No Lexicon Match
gumalwa,gumalwa,[Translation Missing],gumalwa,No Lexicon Match
ntaana,ntaana,[Translation Missing],ntaana,No Lexicon Match
Omukwaano,umukwaano,[Translation Missing],umukwaano,No Lexicon Match
ogwokumpi,ukumpi,[Translation Missing],okwokumpi,No Lexicon Match
ye,ye,[Translation Missing],ye,No Lexicon Match
mulabe,laba,[Translation Missing],mu-labe,No Lexicon Match
wo,wo,[Translation Missing],wo,No Lexicon Match
Omumpi,umumpi,[Translation Missing],omumpi,No Lexicon Match
wakoma,koma,[Translation Missing],wa-koma,No Lexicon Match
wakwaata,kwaata,[Translation Missing],wakwaata,No Lexicon Match
Omuntu,umuntu,[Translation Missing],umuntu,No Lexicon Match
bwabeera,beera,[Translation Missing],beera,No Lexicon Match
obwoomu,umu,[Translation Missing],obwoomu,No Lexicon Match
yefuula,fuula,[Translation Missing],yefuula,No Lexicon Match
kabaka,baka,[Translation Missing],ka-baka,No Lexicon Match
Omutima,umutima,[Translation Missing],omutima,No Lexicon Match
gulinga,linga,[Translation Missing],gu-linga,No Lexicon Match
gwetaaga,etaaga,[Translation Missing],gwetaaga,No Lexicon Match
kusiba,siba,[Translation Missing],siba,No Lexicon Match
Omusajja,umusajja,[Translation Missing],omusajja,No Lexicon Match
alina,lina,[Translation Missing],alina,No Lexicon Match
ebizibu,izibu,[Translation Missing],ebizibu,No Lexicon Match
Aleesa,lesa,[Translation Missing],a-leesa,No Lexicon Match
Omuwala,umuwala,[Translation Missing],omuwala,No Lexicon Match
maka,maka,[Translation Missing],maka,No Lexicon Match
Omuyizzi,umuyizzi,[Translation Missing],umuyizzi,No Lexicon Match
awondera,wondera,[Translation Missing],wondera,No Lexicon Match
enjovu,enjovu,[Translation Missing],enjovu,No Lexicon Match
tatekera,tekera,[Translation Missing],tatekera,No Lexicon Match
kukasukira,kasukira,[Translation Missing],ka-sukira,No Lexicon Match
bunyonyi,bunyonyi,[Translation Missing],bunyonyi,No Lexicon Match
mayinja,yinja,[Translation Missing],mayinja,No Lexicon Match
Omwezi,umwezi,[Translation Missing],omwezi,No Lexicon Match
gutambula,tambula,[Translation Missing],gu-tambula,No Lexicon Match
mpota,mpota,[Translation Missing],m-pota,No Lexicon Match
naye,ya,[Translation Missing],naye,No Lexicon Match
gubuuka,gubuuka,[Translation Missing],gubuuka,No Lexicon Match
ekibuga,buga,[Translation Missing],eki-buga,No Lexicon Match
Sente,Senta,[Translation Missing],sente,No Lexicon Match
esala,esala,[Translation Missing],esala,No Lexicon Match
ejjambiya,jjambiya,[Translation Missing],jjambiya,No Lexicon Match
Sotta,Sotta,[Translation Missing],sotta,No Lexicon Match
abudongo,ubudongo,[Translation Missing],abudongo,No Lexicon Match
bukyaali,bukyaali,[Translation Missing],bukyaali,No Lexicon Match
bubisi,bisi,[Translation Missing],bubisi,No Lexicon Match
Taata,taata,[Translation Missing],taata,No Lexicon Match
ngabo,ngabo,[Translation Missing],ngabo,No Lexicon Match
ya,ya,[Translation Missing],ya,No Lexicon Match
Teli,teli,[Translation Missing],teli,No Lexicon Match
azaalwa,lwa,[Translation Missing],zaalwa,No Lexicon Match
bumanyirivu,manyirivu,[Translation Missing],bumanyirivu,No Lexicon Match
Tewesiganga,siganga,[Translation Missing],tewesiganga,No Lexicon Match
omuntu,umuntu,[Translation Missing],omuntu,No Lexicon Match
Tokungula,kungula,[Translation Missing],tokungula,No Lexicon Match
kyotasimba,otasimba,[Translation Missing],kyotasimba,No Lexicon Match
Towakananga,nanga,[Translation Missing],towakananga,No Lexicon Match
musiru,musiru,[Translation Missing],musiru,No Lexicon Match
Toyonoona,ona,[Translation Missing],toyonoona,No Lexicon Match
muzinga,zinga,[Translation Missing],mu-zinga,No Lexicon Match
olwokwokebwa,ukwokebwa,[Translation Missing],okwokebwa,No Lexicon Match
njuki,njuki,[Translation Missing],njuki,No Lexicon Match
emu,emu,[Translation Missing],emu,No Lexicon Match
Tukozesa,kozesa,[Translation Missing],kozesa,No Lexicon Match
njuba,njuba,[Translation Missing],njuba,No Lexicon Match
naka,naka,[Translation Missing],naka,No Lexicon Match
gonna,gonna,[Translation Missing],gonna,No Lexicon Match
Wakili,wakili,[Translation Missing],wakili,No Lexicon Match
okusooka,sooka,[Translation Missing],oku-sooka,No Lexicon Match
bibi,bi,[Translation Missing],bibi,No Lexicon Match
nomala,mala,[Translation Missing],nomala,No Lexicon Match
nebirungi,nebirungi,[Translation Missing],nebirungi,No Lexicon Match
Zimba,imba,[Translation Missing],zimba,No Lexicon Match
Nnene,nnene,[Translation Missing],nnene,No Lexicon Match
takutelaako,telaako,[Translation Missing],takutelaako,No Lexicon Match
muti,muti,[Translation Missing],muti,No Lexicon Match
